18wheels>18 Wheeler Deluxe (Rev A) (JPN)>2000>AAMA - Green (Suitable For All Ages)>Sega>>Driving
18wheelr>18 Wheeler Deluxe (Rev A) (JPN)>2000>AAMA - Green (Suitable For All Ages)>Sega>>Driving
18whlrur>18 Wheeler Deluxe (Upright)>2000>AAMA - Green (Suitable For All Ages)>Sega>>Driving
alpilota>Airline Pilots (Rev A)>1999>AAMA - Green (Suitable For All Ages)>Sega>>Flying
alpiltdx>Airline Pilots Deluxe (Rev B)>1999>AAMA - Green (Suitable For All Ages)>Sega>>Flying
ausfache>Akatsuki Bk Ausf Achse>2008>AAMA - Yellow (Animated Violence Mild)>Subtle Style>>Fighter
alienfnta>Alien Front (Rev A)>2001>AAMA - Yellow (Animated Violence Mild)>Sega>>Shooter
alienfnt>Alien Front (Rev T)>2001>AAMA - Yellow (Animated Violence Mild)>Sega>>Shooter
azumanga>Azumanga Daioh Puzzle Bobble (GDL-0018)>2002>AAMA - Green (Suitable For All Ages)>Moss (Taito license)>>Puzzle
beachspi>Beach Spikers (GDS-0014)>2002>AAMA - Green (Suitable For All Ages)>Sega>>Sports/Volleyball
bdrdown>Border Down (Rev A) (GDL-0023A)>2004>AAMA - Green (Suitable For All Ages)>G-Rev>>Shooter
cspike>Cannon Spike (USA, EXP, KOR, AUS) / Gun Spike (JPN)>2000>AAMA - Yellow (Animated Violence Mild)>Psikyo / Capcom>>Beat-'Em-Up
cvs2gd>Capcom Vs. SNK 2 Millionaire Fighting 2001 (Rev A) (GDL-0007A)>2001>AAMA - Yellow (Animated Violence Mild)>Capcom / SNK>>Fighter
cvsgd>Capcom Vs. SNK Millenium Fight 2000 Pro (GDL-0004)>2001>AAMA - Yellow (Animated Violence Mild)>Capcom / SNK>>Fighter
capsnka>Capcom Vs. SNK Millennium Fight 2000 (000804 JPN, USA, EXP, KOR, AUS) (Rev A)>2000>AAMA - Yellow (Animated Violence Mild)>Capcom / SNK>>Fighter
capsnk>Capcom Vs. SNK Millennium Fight 2000 (000904 JPN, USA, EXP, KOR, AUS) (Rev C)>2000>AAMA - Yellow (Animated Violence Mild)>Capcom / SNK>>Fighter
cfield>Chaos Field (GDL-0025)>2004>AAMA - Green (Suitable For All Ages)>Able>>Shooter
cleoftp>Cleopatra Fortune Plus (GDL-0012)>2002>AAMA - Green (Suitable For All Ages)>Altron>>Puzzle
clubkrte>Club Kart: European Session 2001>2002>AAMA - Green (Suitable For All Ages)>Sega>>Driving
clubkrtd>Club Kart: European Session 2002 (Rev. D)>2002>AAMA - Green (Suitable For All Ages)>Sega>>Driving
clubk2k3>Club Kart: European Session 2003>2003>AAMA - Green (Suitable For All Ages)>Sega>>Driving
confmiss>Confidential Mission (GDS-0001)>2001>AAMA - Yellow (Animated Violence Mild)>Sega>>Gun
csmasho>Cosmic Smash (JPN, USA, EXP, KOR, AUS) (original)>2001>AAMA - Green (Suitable For All Ages)>Sega>>Sports/Tennis
csmash>Cosmic Smash (Rev A)>2001>AAMA - Green (Suitable For All Ages)>Sega>>Sports/Tennis
crackndj>Crackin' DJ>2000>AAMA - Green (Suitable For All Ages)>Sega>>Rhythm
crzytaxi>Crazy Taxi (JPN, USA, EXP, KOR, AUS)>1999>AAMA - Yellow (Animated Violence Mild)>Sega>>Driving
doa2>Dead or Alive 2 (JPN, USA, EXP, KOR, AUS)>1999>AAMA - Yellow (Animated Violence Mild)>Tecmo>>Fighter
doa2m>Dead or Alive 2 Millennium (JPN, USA, EXP, KOR, AUS)>2000>AAMA - Yellow (Animated Violence Mild)>Tecmo>>Fighter
deathcox>Death Crimson OX (JPN, USA, EXP, KOR, AUS)>2000>AAMA - Yellow (Animated Violence Mild)>Ecole>>Gun
shangril>Dengen Tenshi Taisen Janshi Shangri-la (JPN, USA, EXP, KOR, AUS)>1999>AAMA - Green (Suitable For All Ages)>Marvelous Ent.>>Mahjong
derbyoc>Derby Owners Club (JPN, USA, EXP, KOR, AUS) (Rev B)>1999>AAMA - Green (Suitable For All Ages)>Sega>>Sports/Horse Racing
derbyo2k>Derby Owners Club 2000>2000>AAMA - Green (Suitable For All Ages)>Sega>>Sports/Horse Racing
derbyoc2>Derby Owners Club II (JPN, USA, EXP, KOR, AUS)>2001>AAMA - Green (Suitable For All Ages)>Sega>>Sports/Horse Racing
drbyocwc>Derby Owners Club World Edition (JPN, USA, EXP, KOR, AUS) (Rev C)>2001>AAMA - Green (Suitable For All Ages)>Sega>>Sports/Horse Racing
derbyocw>Derby Owners Club World Edition (JPN, USA, EXP, KOR, AUS) (Rev D)>2001>AAMA - Green (Suitable For All Ages)>Sega>>Sports/Horse Racing
starseek>Doki Doki Idol Star Seeker (GDL-0005)>2001>AAMA - Green (Suitable For All Ages)>G-Rev>>Puzzle
dygolf>Dynamic Golf (JPN) / Virtua Golf (Rev A) (GDS-0009A)>2001>AAMA - Green (Suitable For All Ages)>Sega>>Sports/Golf
dybb99>Dynamite Baseball '99 (JPN) / World Series '99 (USA, EXP, KOR, AUS) (Rev B)>1999>AAMA - Green (Suitable For All Ages)>Sega>>Sports/Baseball
dybbnao>Dynamite Baseball NAOMI (JPN)>1998>AAMA - Green (Suitable For All Ages)>Sega>>Sports/Baseball
asndynmt>Dynamite Deka Ex - Asian Dynamite>2007>AAMA - Yellow (Animated Violence Mild)>Sega>>Beat-'Em-Up
f355>Ferrari F355 Challenge>1999>AAMA - Green (Suitable For All Ages)>Sega>>Driving
f355twin>Ferrari F355 Challenge (Twin)>1999>AAMA - Green (Suitable For All Ages)>Sega>>Driving
f355twn2>Ferrari F355 Challenge 2 (Twin)>1999>AAMA - Green (Suitable For All Ages)>Sega>>Driving
ggram2>Giant Gram (JPN, USA, EXP, KOR, AUS)>1999>AAMA - Yellow (Animated Violence Mild)>Sega>>Sports/Wrestling
gram2000>Giant Gram 2000 (JPN, USA, EXP, KOR, AUS)>2000>AAMA - Yellow (Animated Violence Mild)>Sega>>Sports/Wrestling
gwing2>Giga Wing 2 (JPN, USA, EXP, KOR, AUS)>2000>AAMA - Green (Suitable For All Ages)>Takumi / Capcom>>Shooter
ggx>Guilty Gear X (JPN)>2000>AAMA - Yellow (Animated Violence Mild)>Arc System Works>>Fighter
ggxxrl>Guilty Gear XX #Reload (Rev A) (GDL-0019A)>2003>AAMA - Yellow (Animated Violence Mild)>Arc System Works>>Fighter
ggxx>Guilty Gear XX (GDL-0011)>2002>AAMA - Yellow (Animated Violence Mild)>Arc System Works>>Fighter
ggxxac>Guilty Gear XX Accent Core (GDL-0041)>2006>AAMA - Yellow (Animated Violence Mild)>Arc System Works>>Fighter
ggxxsla>Guilty Gear XX Slash (Rev A) (GDL-0033A)>2005>AAMA - Yellow (Animated Violence Mild)>Arc System Works>>Fighter
gunsur2>Gun Survivor 2: Bio Hazard Code Veronica>2001>AAMA - Red (Animated Violence Strong)>Capcom / Namco>>Gun
hmgeo>Heavy Metal Geomatrix (JPN, USA, EUR, ASI, AUS) (Rev A)>2001>AAMA - Yellow (Animated Violence Mild)>Capcom>>Action
hotd2>House of the Dead 2>1999>AAMA - Red (Animated Violence Strong)>Sega>>Gun
hotd2o>House of the Dead 2 (original)>1999>AAMA - Red (Animated Violence Strong)>Sega>>Gun
hotd2p>House of the Dead 2 (prototype)>1999>AAMA - Red (Animated Violence Strong)>Sega>>Gun
suchie3>Idol Janshi Suchie-Pai 3 (JPN)>1999>AAMA - Green (Suitable For All Ages)>Jaleco>>Mahjong
ikaruga>Ikaruga (GDL-0010)>2001>AAMA - Green (Suitable For All Ages)>Treasure>>Shooter
illvelo>Illvelo (Illmatic Envelope)>2008>AAMA - Green (Suitable For All Ages)>Milestone>>Shoot-'Em-Up
initdv2e>Initial D Arcade Stage Ver. 2 (Export) (GDS-0027)>2002>AAMA - Green (Suitable For All Ages)>Sega>>Driving
initdv2jo>Initial D Arcade Stage Ver. 2 (Japan) (GDS-0026)>2002>AAMA - Green (Suitable For All Ages)>Sega>>Driving
initdv2j>Initial D Arcade Stage Ver. 2 (Japan) (Rev. B) (GDS-0026B)>2002>AAMA - Green (Suitable For All Ages)>Sega>>Driving
initdv3e>Initial D Arcade Stage Ver. 3 (Export) (GDS-0033)>2004>AAMA - Green (Suitable For All Ages)>Sega>>Driving
initdv3jb>Initial D Arcade Stage Ver. 3 (Japan) (Rev. B) (GDS-0032B)>2004>AAMA - Green (Suitable For All Ages)>Sega>>Driving
initdv3j>Initial D Arcade Stage Ver. 3 (Japan) (Rev. C) (GDS-0032C)>2004>AAMA - Green (Suitable For All Ages)>Sega>>Driving
initdexp>Initial D: Arcade Stage (Export) (GDS-0025)>2002>AAMA - Green (Suitable For All Ages)>Sega>>Driving
initd>Initial D: Arcade Stage (Rev B) (JPN) (GDS-0020B)>2002>AAMA - Green (Suitable For All Ages)>Sega>>Driving
inunoos>Inu No Osanpo / Dog Walking (Rev A)>2001>AAMA - Green (Suitable For All Ages)>Sega>>Miscellaneous
jambo>Jambo! Safari (JPN, USA, EXP, KOR, AUS) (Rev A)>1999>AAMA - Green (Suitable For All Ages)>Sega>>Driving
jingystm>Jingi Storm - The Arcade (GDL-0037)>2005>AAMA - Yellow (Animated Violence Mild)>Atrativa Japan>>Fighter
karous>Karous (GDL-0040)>2006>AAMA - Green (Suitable For All Ages)>Milestone>>Shooter
kick4csh>Kick '4' Cash>2004>AAMA - Green (Suitable For All Ages)>Sega>>Sports/Soccer
kingrt66>King of Route 66>2002>AAMA - Green (Suitable For All Ages)>Sega>>Driving
kurucham>Kurukuru Chameleon (GDL-0034)>2006>AAMA - Green (Suitable For All Ages)>Able>>Puzzle
keyboard>La Keyboardxyu (GDS-0017)>2001>AAMA - Green (Suitable For All Ages)>Sega>>Quiz
lupinsho>Lupin The Third - The Shooting (GDS-0018)>2001>AAMA - Yellow (Animated Violence Mild)>Sega>>Gun
luptype>Lupin The Third - The Typing (Rev A) (GDS-0021A)>2002>AAMA - Green (Suitable For All Ages)>Sega>>Miscellaneous
mamonoro>Mamonoro>2008>AAMA - Green (Suitable For All Ages)>G.rev / Gulti>>Shooter
mvsc2>Marvel vs. Capcom 2 (JPN, USA, EUR, ASI, AUS) (Rev A)>2000>AAMA - Yellow (Animated Violence Mild)>Capcom>>Fighter
mok>Maze of the Kings, The (GDS-0022)>2002>AAMA - Yellow (Animated Violence Mild)>Sega>>Gun
meltybld>Melty Blood Act Cadenza Ver A (Rev C) (GDL-0028C)>2005>AAMA - Yellow (Animated Violence Mild)>Ecole Software>>Fighter
meltyb>Melty Blood Act Cadenza Ver B (GDL-0039)>2006>AAMA - Yellow (Animated Violence Mild)>Ecole Software>>Fighter
meltyba>Melty Blood Act Cadenza Ver B (Rev A) (GDL-0039A)>2006>AAMA - Yellow (Animated Violence Mild)>Ecole Software>>Fighter
mbaa>Melty Blood Actress Again>2008>AAMA - Yellow (Animated Violence Mild)>Type-Moon/Ecole>>Fighter
mbaaa>Melty Blood Actress Again (Ver. A)>2008>AAMA - Yellow (Animated Violence Mild)>Type-Moon/Ecole>>Fighter
gundmct>Mobile Suit Gundam: Federation vs. Zeon (2001-02-08)>2001>AAMA - Green (Suitable For All Ages)>Banpresto>>Shooter
gundmgd>Mobile Suit Gundam: Federation Vs. Zeon (GDL-0001)>2001>AAMA - Yellow (Animated Violence Mild)>Capcom>>Shooter
gundmxgd>Mobile Suit Gundam: Federation Vs. Zeon DX (GDL-0006)>2001>AAMA - Yellow (Animated Violence Mild)>Capcom>>Shooter
moeru>Moeru Casinyo (JPN) / Burning Casino (GDL-0013)>2002>AAMA - Green (Suitable For All Ages)>Altron>>Casino
monkeyba>Monkey Ball (GDS-0008)>2001>AAMA - Green (Suitable For All Ages)>Sega>>Puzzle
chocomk>Musapey's Choco Marker (Rev A) (GDL-0014A)>2002>AAMA - Green (Suitable For All Ages)>Ecole Software>>Puzzle
mtkob2>Mushiking The King Of Beetles 2k3 2nd>2003>AAMA - Green (Suitable For All Ages)>Sega>>Card Battle
mushi2ea>Mushiking The King Of Beetles II (Ver. 1)>2004>AAMA - Green (Suitable For All Ages)>Sega>>Card Battle
mushik2e>Mushiking The King Of Beetles II (Ver. 2)>2004>AAMA - Green (Suitable For All Ages)>Sega>>Card Battle
takoron>Noukone Puzzle Takoron (GDL-0042)>2006>AAMA - Green (Suitable For All Ages)>Compile>>Puzzle
oinori>Oinori-daimyoujin Matsuri (Rev.A)>2003>AAMA - Green (Suitable For All Ages)>Sega>>Miscellaneous
otrigger>OutTrigger (JPN, USA, EXP, KOR, AUS)>1999>AAMA - Yellow (Animated Violence Mild)>Sega>>Action
pokasuka>Pokasuka Ghost>2007>AAMA - Green (Suitable For All Ages)>Sega>>Action
vtennisg>Power Smash (JPN) / Virtua Tennis (GDS-0011)>1999>AAMA - Green (Suitable For All Ages)>Sega>>Sports/Tennis
vtennis>Power Smash (JPN) / Virtua Tennis (USA, EXP, KOR, AUS)>1999>AAMA - Green (Suitable For All Ages)>Sega>>Sports/Tennis
vtenis2c>Power Smash 2 (JPN) / Virtua Tennis 2 (Cartridge)>2001>AAMA - Green (Suitable For All Ages)>Sega>>Sports/Tennis
vtennis2>Power Smash 2 (JPN) / Virtua Tennis 2 (Rev A) (GDS-0015A)>2001>AAMA - Green (Suitable For All Ages)>Sega>>Sports/Tennis
pstone>Power Stone (JPN, USA, EUR, ASI, AUS)>1999>AAMA - Yellow (Animated Violence Mild)>Capcom>>Fighter
pstone2>Power Stone 2 (JPN, USA, EUR, ASI, AUS)>2000>AAMA - Yellow (Animated Violence Mild)>Capcom>>Fighter
