A Tale of Vengeance>A Tale of Vengeance>2008>HSRS - PG (Parental Guidance)>AlexDC22>>Beat-'Em-Up
Art of Fighting - Beats of Rage Remix III>Art of Fighting: Beats of Rage Remix III>2009>HSRS - PG (Parental Guidance)>Mr.Q® / King Herb>>Beat-'Em-Up
Asterix and Caesars Challenge>Asterix and Caesars Challenge>2005>HSRS - PG (Parental Guidance)>Belavi>>Beat-'Em-Up
Balance of Power>Balance of Power>2007>HSRS - PG (Parental Guidance)>LBF>>Beat-'Em-Up
Bare Knuckle VACUUM>Bare Knuckle VACUUM>2010>HSRS - PG (Parental Guidance)>Volcanic>>Beat-'Em-Up
Battle Toads>Battle Toads>2006>HSRS - PG (Parental Guidance)>bWWd>>Beat-'Em-Up
Beats of Rage>Beats of Rage>2003>HSRS - PG (Parental Guidance)>Senile Team>>Beat-'Em-Up
Beats of Rage Remix - Rhythm of Destruction>Beats of Rage Remix: Rhythm of Destruction>2004>HSRS - PG (Parental Guidance)>Mr.Q® / King Herb>>Beat-'Em-Up
Captain Commando and the Avengers>Captain Commando and the Avengers>2008>HSRS - PG (Parental Guidance)>Gabo-Hanzo®>>Beat-'Em-Up
Chrono Killer>Chrono Killer>2009>HSRS - PG (Parental Guidance)>CybersoulX>>Beat-'Em-Up
Code Name - Sailor V>Code Name: Sailor V>2009>HSRS - PG (Parental Guidance)>Kungpow12345>>Beat-'Em-Up
Contra - Locked 'N Loaded>Contra: Locked 'N Loaded>2010>HSRS - PG (Parental Guidance)>Bloodbane>>Beat-'Em-Up
Crime Buster>Crime Buster>2007>HSRS - PG (Parental Guidance)>Bloodbane>>Beat-'Em-Up
Dante Must Kill>Dante Must Kill>2004>HSRS - PG (Parental Guidance)>Masterderico>>Beat-'Em-Up
Double Dragon Extreme>Double Dragon Extreme>2005>HSRS - PG (Parental Guidance)>Mr.Q®>>Beat-'Em-Up
Double Dragon Gaiden>Double Dragon Gaiden>2009>HSRS - PG (Parental Guidance)>Gabo-Hanzo®>>Beat-'Em-Up
Double Dragon Genesis Final Cut>Double Dragon Genesis Final Cut>2010>HSRS - PG (Parental Guidance)>LeeBrother>>Beat-'Em-Up
Double Dragon SNK Final Edition>Double Dragon SNK Final Edition>2010>HSRS - PG (Parental Guidance)>kmilloz>>Beat-'Em-Up
Double Dragon Zero>Double Dragon Zero>2009>HSRS - PG (Parental Guidance)>ikaruga>>Beat-'Em-Up
Ed Edd n Eddy - Nightmare on Ed Street>Ed Edd n Eddy: Nightmare on Ed Street>2005>HSRS - PG (Parental Guidance)>KungPow12345>>Beat-'Em-Up
Fatal Fury ReBout>Fatal Fury ReBout>2007>HSRS - PG (Parental Guidance)>[SEEP]>>Beat-'Em-Up
Final Fight Apocalypse - 2nd Edition>Final Fight Apocalypse: 2nd Edition>2006>HSRS - PG (Parental Guidance)>Mr.Q®>>Beat-'Em-Up
Final Fight - Last Round>Final Fight: Last Round>2005>HSRS - PG (Parental Guidance)>Mr.Q®>>Beat-'Em-Up
Fists of Legendary Heroes>Fists of Legendary Heroes>2010>HSRS - PG (Parental Guidance)>Zamuel>>Beat-'Em-Up
Garou - Rage of the Wolves>Garou: Rage of the Wolves>2010>HSRS - PG (Parental Guidance)>>>Beat-'Em-Up
Golden Axe Myth>Golden Axe: Myth>2011>HSRS - PG (Parental Guidance)>Bariton Marchetto>>Beat-'Em-Up
Golden Axe - Remake>Golden Axe: Remake>2007>HSRS - PG (Parental Guidance)>Utunnels>>Beat-'Em-Up
