1942 (Japan)>1942 (Japan)>1986>Other - NR (Not Rated)>ASCII>>Shoot-'Em-Up
AcroJet (Japan)>AcroJet (Japan)>1988>Other - NR (Not Rated)>SystemSoft>>Simulation
Aleste (Japan)>Aleste (Japan)>1988>Other - NR (Not Rated)>Compile>>Shoot-'Em-Up
Alges no Yoku (Japan)>Alges no Yoku (Japan)>1986>Other - NR (Not Rated)>Kogado>>Role-Playing
American Soccer (Japan)>American Soccer (Japan)>1988>Other - NR (Not Rated)>Nidecom Soft>>Sports
Aoki Ookami to Shiroki Mejika - Genchou Hishi (Japan)>Aoki Ookami to Shiroki Mejika - Genchou Hishi (Japan)>1992>Other - NR (Not Rated)>Koei>>Strategy
Aoki Ookami to Shiroki Mejika - Genghis Khan (Japan)>Aoki Ookami to Shiroki Mejika - Genghis Khan (Japan)>1991>Other - NR (Not Rated)>Koei>>Strategy
Arctic - Active Rail Playing (Japan)>Arctic - Active Rail Playing (Japan)>1989>Other - NR (Not Rated)>Pony Canyon>>Puzzle
Arkanoid II - Revenge of Doh (Japan)>Arkanoid II - Revenge of Doh (Japan)>1988>Other - NR (Not Rated)>Taito>>Action
Asada Tetsuya no Akyoo Mahjong (Japan)>Asada Tetsuya no Akyoo Mahjong (Japan)>1989>Other - NR (Not Rated)>Pony Canyon>>Mahjong
AshGuine - Densetsu no Seisenshi (Japan)>AshGuine - Densetsu no Seisenshi (Japan)>1987>Other - NR (Not Rated)>Bit2>>Action
AshGuine Story II - Citadel in the Void (Japan) (Translated En)>AshGuine Story II - Citadel in the Void (Japan) (Translated En)>1987>Other - NR (Not Rated)>Bit2>>Action
AshGuine Story II - Kokuu no Gajou (Japan)>AshGuine Story II - Kokuu no Gajou (Japan)>1987>Other - NR (Not Rated)>TE Soft>>Action
AshGuine Story III - Fukushuu no Honoo (Japan)>AshGuine Story III - Fukushuu no Honoo (Japan)>1987>Other - NR (Not Rated)>Micro Cabin - Panasoft>>Action
Blade Lords (Japan)>Blade Lords (Japan)>1994>Other - NR (Not Rated)>Parallax>>Platform
Bubble Bobble (Japan)>Bubble Bobble (Japan)>1987>Other - NR (Not Rated)>Taito>>Platform
Cockpit, The (Japan)>Cockpit, The (Japan)>1988>Other - NR (Not Rated)>Taito>>Simulation
Contra (Japan)>Contra (Japan)>1987>Other - NR (Not Rated)>Konami>>Shooter
Crimson (Japan)>Crimson (Japan)>1988>Other - NR (Not Rated)>XTALSOFT>>Role-Playing
Daikoukai Jidai (Japan)>Daikoukai Jidai (Japan)>1990>Other - NR (Not Rated)>Koei>>Strategy
Daisenryaku Risk (Japan)>Daisenryaku Risk (Japan)>1987>Other - NR (Not Rated)>Micro Cabin>>Strategy
Darwin 4078 (Japan)>Darwin 4078 (Japan)>1987>Other - NR (Not Rated)>Hudson>>Shoot-'Em-Up
Deep Forest (Japan)>Deep Forest (Japan)>1987>Other - NR (Not Rated)>XAIN>>Role-Playing
Dires - Giger Loop (Japan)>Dires - Giger Loop (Japan)>1987>Other - NR (Not Rated)>Bothtec>>Action
Double Vision (Japan)>Double Vision (Japan)>1987>Other - NR (Not Rated)>Hard>>Simulation
Dragon Buster (Japan)>Dragon Buster (Japan)>1987>Other - NR (Not Rated)>TOSE>>Role-Playing
Dragon Quest (Japan)>Dragon Quest (Japan)>1986>Other - NR (Not Rated)>Enix>>Role-Playing
Dragon Quest II (Japan)>Dragon Quest II (Japan)>1988>Other - NR (Not Rated)>Enix>>Role-Playing
Dragon Slayer IV - Drasle Family (Japan)>Dragon Slayer IV - Drasle Family (Japan)>1987>Other - NR (Not Rated)>Falcom>>Role-Playing
Dragon Slayer IV - Drasle Family (Japan)(Translated En)>Dragon Slayer IV - Drasle Family (Japan)(Translated En)>1987>Other - NR (Not Rated)>Falcom>>Role-Playing
Dragon Slayer Jr. - Romancia (Japan)>Dragon Slayer Jr. - Romancia (Japan)>1986>Other - NR (Not Rated)>Falcom>>Role-Playing
Dragon Slayer Jr. - Romancia (Japan) (Translated En)>Dragon Slayer Jr. - Romancia (Japan) (Translated En)>1986>Other - NR (Not Rated)>Falcom>>Role-Playing
Druid (Japan)>Druid (Japan)>1988>Other - NR (Not Rated)>Nippon>>Role-Playing
Dynamite Bowl (Japan)>Dynamite Bowl (Japan)>1987>Other - NR (Not Rated)>Toshiba EMI>>Sports
Eidolon, The (Europe)>Eidolon, The (Europe)>1985>Other - NR (Not Rated)>LucasFilm>>Action
Elslid (Japan)>Elslid (Japan)>1989>Other - NR (Not Rated)>NCS>>Strategy
Empereur, L' (Japan)>Empereur, L' (Japan)>1990>Other - NR (Not Rated)>Koei>>Simulation
Europe Sensen (Japan)>Europe Sensen (Japan)>1992>Other - NR (Not Rated)>Koei>>Strategy
F-15 Strike Eagle (Japan)>F-15 Strike Eagle (Japan)>1990>Other - NR (Not Rated)>Novotrade / MicroProse>>Flying
Famicle Parodic (Japan)>Famicle Parodic (Japan)>1988>Other - NR (Not Rated)>Bit2>>Shoot-'Em-Up
Family Billiards (Japan)>Family Billiards (Japan)>1988>Other - NR (Not Rated)>Dual / Pack-In-Video>>Pool and Dart
Family Boxing - MSX Title Match (Japan)>Family Boxing - MSX Title Match (Japan)>1988>Other - NR (Not Rated)>SCEI>>Sports
Fantasy Zone II - The Tears of Opa-Opa (Japan)>Fantasy Zone II - The Tears of Opa-Opa (Japan)>1989>Other - NR (Not Rated)>Atelier Double / Pony Canyon>>Shoot-'Em-Up
Final Mystery Murder Club - Satsujin Club (Japan)>Final Mystery Murder Club - Satsujin Club (Japan)>1988>Other - NR (Not Rated)>Micro Cabin>>Adventure
