Defender (USA, Europe)>Defender (USA, Europe)>1982>HSRS - GA (General Audience)>Entex Industries>>Shooter
Space Force (USA, Europe)>Space Force (USA, Europe)>1982>HSRS - GA (General Audience)>Entex Industries>>Shooter
Super Cobra (USA, Europe)>Super Cobra (USA, Europe)>1982>HSRS - GA (General Audience)>Entex Industries>>Shooter
Turtles (USA, Europe)>Turtles (USA, Europe)>1982>HSRS - GA (General Audience)>Entex Industries>>Action
