Astron Belt (Japan)>Astron Belt>1983>Other - NR (Not Rated)>Sega>>Action/Shooter
Badlands (Japan)>Badlands>1984>Other - NR (Not Rated)>Konami>>Action
Cosmos Circuit (Japan)>Cosmos Circuit>1985>Other - NR (Not Rated)>TOEI>>Driving/Racing
Esh's Aurunmilla (Japan)>Eshapos;s Aurunmilla (1985)>1985>Other - NR (Not Rated)>LaserDisc Corporation>>Adventure
InterStellar (Japan)>InterStellar>1983>Other - NR (Not Rated)>Funai/Gakken>>vertical Shooter
Nihonkai Daikaisen - Umi Yukaba (Japan)>Nihonkai Daikaisen - Umi Yukaba>1985>Other - NR (Not Rated)>LaserDisc Corporation>>Action/Strategy
Rolling Blaster (Japan)>Rolling Blaster>1985>Other - NR (Not Rated)>Techno Quest>>vertical Shooter
Starfighters (Japan)>Starfighters>1984>Other - NR (Not Rated)>ASCII Corporation>>Strategy/Shooter
Strike Mission (Japan)>Strike Mission>1984>Other - NR (Not Rated)>LaserDisc Corporation>>Strategy/Shooter
