rom>title>developer>publisher>year>genre>rating>players>score
007 - Quantum of Solace (USA)>007 - Quantum of Solace (USA)>Vicarious Visions>Activision>2008>Action>ESRB - T (Teen)>1 Player>3.7
1 vs 100 (USA)>1 vs 100 (USA)>ECi>DSI Games>2008>Game Show>ESRB - E (Everyone)>1-2 Players>
100 All-Time Favorites (USA)>100 All-Time Favorites (USA)>Ubisoft>Ubisoft>2009>Puzzle>ESRB - E (Everyone)>>
100 Classic Books (USA)>100 Classic Books (USA)>Genius Sonority Inc.>Nintendo>2010>Miscellaneous>Other - NR (Not Rated)>1 Player>
100 Classic Games (Europe)>100 Classic Games (Europe)>Easy Interactive>Rondomedia>2011>Compilation>PEGI - 12 (Everyone 12+)>1 Player>
1000 Cooking Recipes from Elle a Table (Europe)>1000 Cooking Recipes from Elle a Table (Europe)>Agenda>Nintendo>2010>Miscellaneous>Other - NR (Not Rated)>>
1001 Crosswords (Europe)>1001 Crosswords (Europe)>Mastertronic>Mastertronic>2012>Puzzle>PEGI - 3 (Everyone 3+)>>
1001 Touch Games (USA)>1001 Touch Games (USA)>Avanquest Software>Maximum Family Games>2011>Action>ESRB - E (Everyone)>>
101 in 1 Explosive Megamix (USA)>101 in 1 Explosive Megamix (USA)>Nordcurrent>Atlus>2009>Action>ESRB - E (Everyone)>1 Player>
101 in 1 Sports Megamix (USA)>101 in 1 Sports Megamix (USA)>Nordcurrent>Atlus>2010>Party / Mini-Games>ESRB - E10+ (Everyone 10+)>>
11 Card Games (Europe)>11 Card Games (Europe)>>>>>>>
12 Family Games (Europe)>12 Family Games (Europe)>>>>>>>
123 Sesame Street - Cookie's Counting Carnival - The Videogame (USA)>123 Sesame Street - Cookie's Counting Carnival - The Videogame (USA)>Black Lantern Studios>Warner Bros. Interactive Entertainment>2010>Educational>ESRB - EC (Early Childhood)>>
123 Sesame Street - Elmo's A-to-Zoo Adventure - The Videogame (USA)>123 Sesame Street - Elmo's A-to-Zoo Adventure - The Videogame (USA)>Black Lantern Studios>Warner Bros. Interactive Entertainment>2010>Educational>ESRB - EC (Early Childhood)>>
