Nam 1965-1975 (USA)>Nam 1965-1975 (USA)>1991>Other - NR (Not Rated)>Domark>>Strategy
100 4 1 (Europe) (Unl)>100 4 1 (Europe) (Unl)>1997>Other - NR (Not Rated)>Howard Clarke>>Puzzle
10th Frame (USA)>10th Frame (USA)>1987>Other - NR (Not Rated)>Access>>Sports/Bowling
180 (Europe) (Unl)>180 (Europe) (Unl)>1994>Other - NR (Not Rated)>Nathan Taylor>>Sports/Pool and Dart
1943 - The Battle of Midway (Europe)>1943 - The Battle of Midway (Europe)>1992>Other - NR (Not Rated)>US Gold>>Shoot-'Em-Up
1944 (Europe) (Unl)>1944 (Europe) (Unl)>19xx>Other - NR (Not Rated)>-0>>Shoot-'Em-Up
1st Division Manager (Europe)>1st Division Manager (Europe)>1992>Other - NR (Not Rated)>Codemasters>>Sports/Soccer
1st Serve Tennis (Europe) (Unl)>1st Serve Tennis (Europe) (Unl)>19xx>Other - NR (Not Rated)>John Leaver>>Sports/Tennis
2-1 Bar (Europe)>2-1 Bar (Europe)>1990>Other - NR (Not Rated)>Blue Ribbon Software>>Miscellaneous
20000 Leagues Under The Sea (Europe)>20000 Leagues Under The Sea (Europe)>1988>Other - NR (Not Rated)>Coktel Vision>>Adventure
221B Baker Street (USA)>221B Baker Street (USA)>1987>Other - NR (Not Rated)>Datasoft>>Board Games
3-D Break-Thru (USA)>3-D Break-Thru (USA)>1988>Other - NR (Not Rated)>Antic Software>>Breakout
3-D Galax (Europe)>3-D Galax (Europe)>1989>Other - NR (Not Rated)>Gremlin Graphics>>Shooter
3-D Pool (Europe)>3-D Pool (Europe)>1989>Other - NR (Not Rated)>Firebird>>Sports/Pool and Dart
3-D Soccer (USA) (Unl)>3-D Soccer (USA) (Unl)>1992>Other - NR (Not Rated)>Ryan Simpson>>Sports/Soccer
3D Construction Kit, The (Europe)>3D Construction Kit, The (Europe)>1991>Other - NR (Not Rated)>Domark>>Miscellaneous
3D Labyrinth (Germany) (Unl)>3D Labyrinth (Germany) (Unl)>19xx>Other - NR (Not Rated)>Werner Lang>>Maze
3D Maze (Angus Muir) (Europe) (Unl)>3D Maze (Angus Muir) (Europe) (Unl)>1988>Other - NR (Not Rated)>Angus Muir>>Maze
3D Maze (Trevin Beattie) (Europe) (Unl)>3D Maze (Trevin Beattie) (Europe) (Unl)>1992>Other - NR (Not Rated)>Trevin Beattie>>Maze
3D Ski (Europe) (Unl)>3D Ski (Europe) (Unl)>1989>Other - NR (Not Rated)>Wacko Software>>Sports/Skiing
4-7-11 (Europe) (Unl)>4-7-11 (Europe) (Unl)>1992>Other - NR (Not Rated)>Easy Pill Software>>Tabletop
5 Intelligent Strategy Games (Europe) (Disk 1)>5 Intelligent Strategy Games (Europe) (Disk 1)>1992>Other - NR (Not Rated)>UBI Soft>>Compilation
5 Intelligent Strategy Games (Europe) (Disk 2)>5 Intelligent Strategy Games (Europe) (Disk 2)>1992>Other - NR (Not Rated)>UBI Soft>>Compilation
5 of a Kind (Europe) (Unl)>5 of a Kind (Europe) (Unl)>1990>Other - NR (Not Rated)>Databasement>>Tabletop
5 Shot (Europe) (Unl)>5 Shot (Europe) (Unl)>1989>Other - NR (Not Rated)>Wiz-Tek>>Shooter
5th Gear (Europe)>5th Gear (Europe)>1988>Other - NR (Not Rated)>Hewson Consultants>>Shoot-'Em-Up
8 Ball (USA)>8 Ball (USA)>1986>Other - NR (Not Rated)>MichTron>>Sports/Pool and Dart
9 Lives (Europe)>9 Lives (Europe)>1990>Other - NR (Not Rated)>Atari Corp.>>Platform
A.P.B. - All Points Bulletin (Europe)>A.P.B. - All Points Bulletin (Europe)>1989>Other - NR (Not Rated)>Domark>>Action
A320 Airbus (Europe)>A320 Airbus (Europe)>1991>Other - NR (Not Rated)>Thalion>>Simulation
Aaargh! (Europe)>Aaargh! (Europe)>1989>Other - NR (Not Rated)>Melbourne House>>Action
Abombinaball (Europe) (Unl)>Abombinaball (Europe) (Unl)>1992>Other - NR (Not Rated)>ST Format>>Puzzle
ABZoo (Europe) (Disk 1)>ABZoo (Europe) (Disk 1)>1987>Other - NR (Not Rated)>MichTron>>Educational
ABZoo (Europe) (Disk 2)>ABZoo (Europe) (Disk 2)>1987>Other - NR (Not Rated)>MichTron>>Educational
