rom>title>year>rating>publisher>developer>genre>score>players>description>
$100,000 Pyramid, The (USA)>$100,000 Pyramid, The (USA)>1988>ESRB - RP (Rating Pending)>Box Office Software>Box Office, Inc.>Quiz>3.0>1-4 Players
'Twas the Night Before Christmas (USA)>'Twas the Night Before Christmas (USA)>1987>Other - NR (Not Rated)>Microstar Graphics, Ltd.>>Miscellaneous>>>>
007 Car Chase (USA)>007 Car Chase (USA)>1985>Other - NR (Not Rated)>Coplin Software>>Driving>>>>
1,000 Kung-Fu Maniacs! (Europe) (Unl)>1,000 Kung-Fu Maniacs! (Europe) (Unl)>2011>ESRB - RP (Rating Pending)>Psytronik Software>Psytronik Software>Beat-'Em-Up>4.3>1 Player
10 Pin (Europe)>10 Pin (Europe)>1986>Other - NR (Not Rated)>Tri Micro>>Sports/Bowling>>>>
10... Knockout! (USA)>10... Knockout! (USA)>1985>Other - NR (Not Rated)>Amersoft>>Sports/Boxing>>>>
100 Meter Dash (USA)>100 Meter Dash (USA)>199x>Other - NR (Not Rated)>Unknown>>Sports/Olympic>>>>
1000 Miglia Volume I - 1927-1933 (Italy)>1000 Miglia Volume I - 1927-1933 (Italy)>1992>ESRB - RP (Rating Pending)>Simulmondo>Simulmondo>Driving>2.7>1 Player
10000 Meters (USA) (Unl)>10000 Meters (USA) (Unl)>2001>Other - NR (Not Rated)>GPL (GOD's Public Licence)>>Sports/Olympic>>>>
10th Frame (USA)>10th Frame (USA)>1986>ESRB - RP (Rating Pending)>Access Software, Inc.>Access Software, Inc.>Sports/Bowling>2.9>1-8 Players
180 (Europe)>180 (Europe)>1986>ESRB - RP (Rating Pending)>Mastertronic's Added Dimension>Binary Design Ltd.>Sports/Pool and Dart>3.4>1-2 Players
19 Part One - Boot Camp (Europe)>19 Part One - Boot Camp (Europe)>1988>ESRB - RP (Rating Pending)>Cascade Games Ltd.>Artronic Limited>Action>3.0>1-4 Players
1941 - The Secret Conflict (USA) (Unl)>1941 - The Secret Conflict (USA) (Unl)>2014>Other - NR (Not Rated)>Chris Yates>>Shoot-'Em-Up>>>>
1942 (Europe)>1942 (Europe)>1986>ESRB - RP (Rating Pending)>Elite Systems Ltd.>Capcom Co Ltd.>Shoot-'Em-Up>3.3>1 Player
