koshien>Ah Eikou no Koshien (Japan)>1990>Other - NR (Not Rated)>Taito Corporation>>Sports/Baseball
akkanvdr>Akkanbeder (Ver 2.5J 1995/06/14)>1995>Other - NR (Not Rated)>Taito Corporation>>Shoot-'Em-Up
alpine>Alpine Ski (set 1)>1982>Other - NR (Not Rated)>Taito Corporation>>Sports/Skiing
alpinea>Alpine Ski (set 2)>1982>Other - NR (Not Rated)>Taito Corporation>>Sports/Skiing
horshoes>American Horseshoes (US)>1990>Other - NR (Not Rated)>Taito America Corporation>>Sports
aquajackj>Aqua Jack (Japan)>1990>Other - NR (Not Rated)>Taito Corporation>>Shooter
aquajacku>Aqua Jack (US)>1990>Other - NR (Not Rated)>Taito America Corporation>>Shooter
aquajack>Aqua Jack (World)>1990>Other - NR (Not Rated)>Taito Corporation Japan>>Shooter
arabianmu>Arabian Magic (Ver 1.0A 1992/07/06)>1992>Other - NR (Not Rated)>Taito America Corporation>>Beat-'Em-Up
arabianmj>Arabian Magic (Ver 1.0J 1992/07/06)>1992>Other - NR (Not Rated)>Taito Corporation>>Beat-'Em-Up
arabianm>Arabian Magic (Ver 1.0O 1992/07/06)>1992>Other - NR (Not Rated)>Taito Corporation Japan>>Beat-'Em-Up
arkanoidj>Arkanoid (Japan)>1986>Other - NR (Not Rated)>Taito Corporation>>Breakout
arkanoidjo>Arkanoid (Japan, older)>1986>Other - NR (Not Rated)>Taito Corporation>>Breakout
arkanoidu>Arkanoid (US)>1986>Other - NR (Not Rated)>Taito America Corporation (Romstar license)>>Breakout
arkanoiduo>Arkanoid (US, older)>1986>Other - NR (Not Rated)>Taito America Corporation (Romstar license)>>Breakout
arkanoid>Arkanoid (World)>1986>Other - NR (Not Rated)>Taito Corporation Japan>>Breakout
arknoid2j>Arkanoid - Revenge of DOH (Japan)>1987>Other - NR (Not Rated)>Taito Corporation>>Breakout
arknoid2u>Arkanoid - Revenge of DOH (US)>1987>Other - NR (Not Rated)>Taito America Corporation (Romstar license)>>Breakout
arknoid2>Arkanoid - Revenge of DOH (World)>1987>Other - NR (Not Rated)>Taito Corporation Japan>>Breakout
arkretrnj>Arkanoid Returns (Ver 2.02J 1997/02/10)>1997>Other - NR (Not Rated)>Taito Corporation>>Breakout
arkretrn>Arkanoid Returns (Ver 2.02O 1997/02/10)>1997>Other - NR (Not Rated)>Taito Corporation>>Breakout
ashnojoe>Ashita no Joe (Japan)>1990>Other - NR (Not Rated)>Taito Corporation / Wave>>Sports/Boxing
ashuraj>Ashura Blaster (Japan)>1990>Other - NR (Not Rated)>Taito Corporation>>Shoot-'Em-Up
ashurau>Ashura Blaster (US)>1990>Other - NR (Not Rated)>Taito America Corporation>>Shoot-'Em-Up
ashura>Ashura Blaster (World)>1990>Other - NR (Not Rated)>Taito Corporation Japan>>Shoot-'Em-Up
asukaj>Asuka & Asuka (Japan)>1988>Other - NR (Not Rated)>Taito Corporation>>Shoot-'Em-Up
asuka>Asuka & Asuka (World)>1988>Other - NR (Not Rated)>Taito Corporation>>Shoot-'Em-Up
ballbomb>Balloon Bomber>1980>Other - NR (Not Rated)>Taito>>Shoot-'Em-Up
bsharkj>Battle Shark (Japan)>1989>Other - NR (Not Rated)>Taito Corporation>>Shooter
bsharkjjs>Battle Shark (Japan, Joystick)>1989>Other - NR (Not Rated)>Taito Corporation>>Shooter
bsharku>Battle Shark (US)>1989>Other - NR (Not Rated)>Taito America Corporation>>Shooter
bshark>Battle Shark (World)>1989>Other - NR (Not Rated)>Taito Corporation Japan>>Shooter
benberob>Ben Bero Beh (Japan)>1984>Other - NR (Not Rated)>Taito>>Platform
bigevglfj>Big Event Golf (Japan)>1986>Other - NR (Not Rated)>Taito Corporation>>Sports/Golf
bigevglf>Big Event Golf (US)>1986>Other - NR (Not Rated)>Taito America Corporation>>Sports/Golf
bioatack>Bio Attack>1983>Other - NR (Not Rated)>Taito Corporation (Fox Video Games license)>>Shoot-'Em-Up
bking>Birdie King>1982>Other - NR (Not Rated)>Taito Corporation>>Sports/Golf
bking2>Birdie King 2>1983>Other - NR (Not Rated)>Taito Corporation>>Sports/Golf
bking3>Birdie King 3>1984>Other - NR (Not Rated)>Taito Corporation>>Sports/Golf
bonzeadvu>Bonze Adventure (US)>1988>Other - NR (Not Rated)>Taito America Corporation>>Platform
bonzeadv>Bonze Adventure (World, Newer)>1988>Other - NR (Not Rated)>Taito Corporation Japan>>Platform
bonzeadvo>Bonze Adventure (World, Older)>1988>Other - NR (Not Rated)>Taito Corporation Japan>>Platform
bublbobl1>Bubble Bobble (Japan, Ver 0.0)>1986>Other - NR (Not Rated)>Taito Corporation>>Platform
bublbobl>Bubble Bobble (Japan, Ver 0.1)>1986>Other - NR (Not Rated)>Taito Corporation>>Platform
bublboblr1>Bubble Bobble (US, Ver 1.0)>1986>Other - NR (Not Rated)>Taito America Corporation (Romstar license)>>Platform
bublboblr>Bubble Bobble (US, Ver 5.1)>1986>Other - NR (Not Rated)>Taito America Corporation (Romstar license)>>Platform
bublbob2p>Bubble Bobble II (Ver 0.0J 1993/12/13, prototype)>1994>Other - NR (Not Rated)>Taito Corporation Japan>>Platform
bublbob2>Bubble Bobble II (Ver 2.5O 1994/10/05)>1994>Other - NR (Not Rated)>Taito Corporation Japan>>Platform
bubblemj>Bubble Memories: The Story Of Bubble Bobble III (Ver 2.3J 1996/02/07)>1995>Other - NR (Not Rated)>Taito Corporation>>Platform
bubblem>Bubble Memories: The Story Of Bubble Bobble III (Ver 2.4O 1996/02/15)>1995>Other - NR (Not Rated)>Taito Corporation Japan>>Platform
bubsymphu>Bubble Symphony (Ver 2.5A 1994/10/05)>1994>Other - NR (Not Rated)>Taito America Corporation>>Platform
bubsymphj>Bubble Symphony (Ver 2.5J 1994/10/05)>1994>Other - NR (Not Rated)>Taito Corporation>>Platform
bubsymphe>Bubble Symphony (Ver 2.5O 1994/10/05)>1994>Other - NR (Not Rated)>Taito Corporation Japan>>Platform
buggychl>Buggy Challenge>1984>Other - NR (Not Rated)>Taito Corporation>>Driving
buggychlt>Buggy Challenge (Tecfri)>1984>Other - NR (Not Rated)>Taito Corporation (Tecfri license)>>Driving
pbobble2u>Bust-A-Move Again (Ver 2.3A 1995/07/31)>1995>Other - NR (Not Rated)>Taito America Corporation>>Puzzle
bygone>Bygone>1985>Other - NR (Not Rated)>Taito Corporation>>Shoot-'Em-Up
cachat>Cachat (Japan)>1993>Other - NR (Not Rated)>Taito Corporation>>Puzzle
cadashf>Cadash (France)>1989>Other - NR (Not Rated)>Taito Corporation Japan>>Platform
cadashg>Cadash (Germany)>1989>Other - NR (Not Rated)>Taito Corporation Japan>>Platform
cadashi>Cadash (Italy)>1989>Other - NR (Not Rated)>Taito Corporation Japan>>Platform
cadashj>Cadash (Japan)>1989>Other - NR (Not Rated)>Taito Corporation>>Platform
cadashu>Cadash (US)>1989>Other - NR (Not Rated)>Taito America Corporation>>Platform
cadash>Cadash (World)>1989>Other - NR (Not Rated)>Taito Corporation Japan>>Platform
cadashp>Cadash (World, prototype)>1989>Other - NR (Not Rated)>Taito Corporation Japan>>Platform
cameltryj>Cameltry (Japan, YM2610)>1989>Other - NR (Not Rated)>Taito Corporation>>Maze
cameltryau>Cameltry (US, YM2203 + M6295)>1989>Other - NR (Not Rated)>Taito America Corporation>>Maze
cameltry>Cameltry (US, YM2610)>1989>Other - NR (Not Rated)>Taito America Corporation>>Maze
cameltrya>Cameltry (World, YM2203 + M6295)>1989>Other - NR (Not Rated)>Taito America Corporation>>Maze
chaknpop>Chack'n Pop>1983>Other - NR (Not Rated)>Taito Corporation>>Maze
champwrj>Champion Wrestler (Japan)>1989>Other - NR (Not Rated)>Taito Corporation>>Sports/Wrestling
champwru>Champion Wrestler (US)>1989>Other - NR (Not Rated)>Taito America Corporation>>Sports/Wrestling
champwr>Champion Wrestler (World)>1989>Other - NR (Not Rated)>Taito Corporation Japan>>Sports/Wrestling
changela>Change Lanes>1983>Other - NR (Not Rated)>Taito Corporation>>Driving
cbombersp>Chase Bombers (Japan Prototype)>1994>Other - NR (Not Rated)>Taito Corporation>>Driving
cbombersj>Chase Bombers (Japan)>1994>Other - NR (Not Rated)>Taito Corporation>>Driving
cbombers>Chase Bombers (World)>1994>Other - NR (Not Rated)>Taito Corporation Japan>>Driving
chasehqj>Chase H.Q. (Japan)>1988>Other - NR (Not Rated)>Taito Corporation>>Driving
chasehqju>Chase H.Q. (Japan, upright?)>1988>Other - NR (Not Rated)>Taito Corporation>>Driving
chasehqu>Chase H.Q. (US)>1988>Other - NR (Not Rated)>Taito America Corporation>>Driving
chasehq>Chase H.Q. (World)>1988>Other - NR (Not Rated)>Taito Corporation Japan>>Driving
