nss_actr>Act Raiser (Nintendo Super System)>1992>Other - NR (Not Rated)>Enix>>Platform
armwrest>Arm Wrestling>1985>Other - NR (Not Rated)>Nintendo>>Sports
pc_bfght>Balloon Fight (PlayChoice-10)>1984>Other - NR (Not Rated)>Nintendo>>Platform
bandido>Bandido>1980>Other - NR (Not Rated)>Nintendo (Exidy license)>>Shoot-'Em-Up
pc_bball>Baseball (PlayChoice-10)>1984>Other - NR (Not Rated)>Nintendo of America>>Sports/Baseball
pc_bstar>Baseball Stars: Be a Champ! (PlayChoice-10)>1989>Other - NR (Not Rated)>SNK (Nintendo of America license)>>Sports/Baseball
pc_bload>Bases Loaded (Prototype, PlayChoice-10)>1990>Other - NR (Not Rated)>Jaleco (Nintendo of America license)>>Sports/Baseball
pc_cshwk>Captain Sky Hawk (PlayChoice-10)>1989>Other - NR (Not Rated)>Rare (Nintendo of America license)>>Shoot-'Em-Up
pc_cvnia>Castlevania (PlayChoice-10)>1987>Other - NR (Not Rated)>Konami (Nintendo of America license)>>Platform
pc_rrngr>Chip'n Dale: Rescue Rangers (PlayChoice-10)>1987>Other - NR (Not Rated)>Capcom USA (Nintendo of America license)>>Platform
pc_cntra>Contra (PlayChoice-10)>1988>Other - NR (Not Rated)>Konami (Nintendo of America license)>>Platform
nss_con3>Contra 3: The Alien Wars (Nintendo Super System)>1992>Other - NR (Not Rated)>Konami>>Platform
nss_aten>David Crane's Amazing Tennis (Nintendo Super System)>1992>Other - NR (Not Rated)>Absolute Entertainment Inc.>>Sports/Tennis
dkonghrd>Donkey Kong (hard kit)>1981>Other - NR (Not Rated)>Nintendo of America>>Platform
dkongj>Donkey Kong (Japan set 1)>1981>Other - NR (Not Rated)>Nintendo>>Platform
dkongjo>Donkey Kong (Japan set 2)>1981>Other - NR (Not Rated)>Nintendo>>Platform
dkongjo1>Donkey Kong (Japan set 3)>1981>Other - NR (Not Rated)>Nintendo>>Platform
dkong>Donkey Kong (US set 1)>1981>Other - NR (Not Rated)>Nintendo of America>>Platform
dkongo>Donkey Kong (US set 2)>1981>Other - NR (Not Rated)>Nintendo>>Platform
dkong3j>Donkey Kong 3 (Japan)>1983>Other - NR (Not Rated)>Nintendo>>Platform
dkong3>Donkey Kong 3 (US)>1983>Other - NR (Not Rated)>Nintendo of America>>Platform
dkongjrj>Donkey Kong Jr. (Japan)>1982>Other - NR (Not Rated)>Nintendo>>Platform
dkongjre>Donkey Kong Junior (E kit)>1982>Other - NR (Not Rated)>Nintendo of America>>Platform
dkongjnrj>Donkey Kong Junior (Japan?)>1982>Other - NR (Not Rated)>Nintendo>>Platform
dkongjr>Donkey Kong Junior (US set F-2)>1982>Other - NR (Not Rated)>Nintendo of America>>Platform
pc_dbldr>Double Dribble (PlayChoice-10)>1987>Other - NR (Not Rated)>Konami (Nintendo of America license)>>Sports/Basketball
pc_drmro>Dr. Mario (PlayChoice-10)>1990>Other - NR (Not Rated)>Nintendo>>Puzzle
pc_duckh>Duck Hunt (PlayChoice-10)>1984>Other - NR (Not Rated)>Nintendo>>Gun
pc_ebike>Excite Bike (PlayChoice-10)>1984>Other - NR (Not Rated)>Nintendo>>Motorcycle
nss_fzer>F-Zero (Nintendo Super System)>1991>Other - NR (Not Rated)>Nintendo>>Driving
famibox>FamicomBox>1986>Other - NR (Not Rated)>Nintendo>>Compilation
pc_gntlt>Gauntlet (PlayChoice-10)>1985>Other - NR (Not Rated)>Atari / Tengen (Nintendo of America license)>>Maze
pc_golf>Golf (PlayChoice-10)>1984>Other - NR (Not Rated)>Nintendo>>Sports/Golf
helifire>HeliFire (set 1)>1980>Other - NR (Not Rated)>Nintendo>>Shoot-'Em-Up
helifirea>HeliFire (set 2)>1980>Other - NR (Not Rated)>Nintendo>>Shoot-'Em-Up
pc_hgaly>Hogan's Alley (PlayChoice-10)>1984>Other - NR (Not Rated)>Nintendo>>Gun
pc_kngfu>Kung Fu (PlayChoice-10)>1985>Other - NR (Not Rated)>Irem (Nintendo license)>>Beat-'Em-Up
nss_lwep>Lethal Weapon (Nintendo Super System)>1992>Other - NR (Not Rated)>Ocean>>Platform
marioj>Mario Bros. (Japan)>1983>Other - NR (Not Rated)>Nintendo>>Platform
pc_mario>Mario Bros. (PlayChoice-10)>1983>Other - NR (Not Rated)>Nintendo>>Platform
marioe>Mario Bros. (US, Revision E)>1983>Other - NR (Not Rated)>Nintendo of America>>Platform
mario>Mario Bros. (US, Revision F)>1983>Other - NR (Not Rated)>Nintendo of America>>Platform
marioo>Mario Bros. (US, Unknown Rev)>1983>Other - NR (Not Rated)>Nintendo of America>>Platform
pc_moglf>Mario's Open Golf (PlayChoice-10)>1991>Other - NR (Not Rated)>Nintendo>>Sports/Golf
pc_mman3>Mega Man III (PlayChoice-10)>1990>Other - NR (Not Rated)>Capcom USA (Nintendo of America license)>>Platform
pc_mtoid>Metroid (PlayChoice-10)>1986>Other - NR (Not Rated)>Nintendo>>Platform
pc_miket>Mike Tyson's Punch-Out!! (PlayChoice-10)>1987>Other - NR (Not Rated)>Nintendo>>Sports/Boxing
nss_ncaa>NCAA Basketball (Nintendo Super System)>1992>Other - NR (Not Rated)>Sculptured Software Inc.>>Sports/Basketball
pc_ngaid>Ninja Gaiden (PlayChoice-10)>1989>Other - NR (Not Rated)>Tecmo (Nintendo of America license)>>Platform
pc_ngai2>Ninja Gaiden Episode II: The Dark Sword of Chaos (PlayChoice-10)>1990>Other - NR (Not Rated)>Tecmo (Nintendo of America license)>>Platform
pc_ngai3>Ninja Gaiden Episode III: The Ancient Ship of Doom (PlayChoice-10)>1991>Other - NR (Not Rated)>Tecmo (Nintendo of America license)>>Platform
pc_wcup>Nintendo World Cup (PlayChoice-10)>1990>Other - NR (Not Rated)>Technos Japan (Nintendo license)>>Sports/Soccer
pc_pinbt>PinBot (PlayChoice-10)>1988>Other - NR (Not Rated)>Rare (Nintendo of America license)>>Pinball
popeyeu>Popeye (revision D not protected)>1982>Other - NR (Not Rated)>Nintendo>>Platform
popeye>Popeye (revision D)>1982>Other - NR (Not Rated)>Nintendo>>Platform
popeyef>Popeye (revision F)>1982>Other - NR (Not Rated)>Nintendo>>Platform
pc_pwbld>Power Blade (PlayChoice-10)>1991>Other - NR (Not Rated)>Taito (Nintendo of America license)>>Platform
pc_pwrst>Pro Wrestling (PlayChoice-10)>1986>Other - NR (Not Rated)>Nintendo>>Sports/Wrestling
punchout>Punch-Out!!>1984>Other - NR (Not Rated)>Nintendo>>Sports/Boxing
punchoutj>Punch-Out!! (Japan)>1984>Other - NR (Not Rated)>Nintendo>>Sports/Boxing
