4 in 1 Row (Europe)>4 in 1 Row (Europe)>1982>HSRS - GA (General Audience)>Philips>>Puzzle
Alien Invaders - Plus (USA, Europe)>Alien Invaders - Plus (USA, Europe)>1980>HSRS - GA (General Audience)>Magnavox>>Shooter
Alpine Skiing (USA, Europe)>Alpine Skiing (USA, Europe)>1978>HSRS - GA (General Audience)>Magnavox>>Sports/Skiing
Amok (USA) (Unl)>Amok (USA) (Unl)>1998>HSRS - GA (General Audience)>John Dondzilla>>Action
Armored Encounter + Sub Chase (USA, Europe)>Armored Encounter + Sub Chase (USA, Europe)>1978>HSRS - GA (General Audience)>Magnavox>>Shooter
Atlantis (USA, Europe)>Atlantis (USA, Europe)>1983>HSRS - GA (General Audience)>Imagic>>Shooter
Attack of the Timelord (USA)>Attack of the Timelord (USA)>1982>HSRS - GA (General Audience)>Philips>>Shooter
Backgammon (Europe)>Backgammon (Europe)>1982>HSRS - GA (General Audience)>Philips>>Board Games
Baseball (USA, Europe)>Baseball (USA, Europe)>1978>HSRS - GA (General Audience)>Magnavox>>Sports/Baseball
Blobbers, The (Europe)>Blobbers, The (Europe)>1983>HSRS - GA (General Audience)>Philips>>Action
Blockout + Breakdown (USA, Europe)>Blockout + Breakdown (USA, Europe)>1980>HSRS - GA (General Audience)>Magnavox>>Breakout
Bowling + Basketball (USA, Europe)>Bowling + Basketball (USA, Europe)>1978>HSRS - GA (General Audience)>Magnavox>>Sports
Calculator! (USA) (Unl)>Calculator! (USA) (Unl)>2008>HSRS - GA (General Audience)>Pakrat>>Miscellaneous
Casino Slot Machine (USA, Europe)>Casino Slot Machine (USA, Europe)>1978>HSRS - GA (General Audience)>Magnavox>>Casino
Catch the Ball + Noughts and Crosses (Europe)>Catch the Ball + Noughts and Crosses (Europe)>1979>HSRS - GA (General Audience)>Philips>>Compilation
Chess (Europe)>Chess (Europe)>1982>HSRS - GA (General Audience)>Philips>>Board Games
Chez Maxime (France)>Chez Maxime (France)>1983>HSRS - GA (General Audience)>Jopac>>Platform
Chinese Logic (Europe)>Chinese Logic (Europe)>1980>HSRS - GA (General Audience)>Philips>>Puzzle
Clay Pigeon (Brazil)>Clay Pigeon (Brazil)>1984>HSRS - GA (General Audience)>Philips>>Shooter
Computer Golf (USA)>Computer Golf (USA)>1978>HSRS - GA (General Audience)>Magnavox>>Sports/Golf
Computer Intro (USA)>Computer Intro (USA)>1978>HSRS - GA (General Audience)>Magnavox>>Miscellaneous
Conquest of the World (USA, Europe)>Conquest of the World (USA, Europe)>1981>HSRS - GA (General Audience)>Philips>>Strategy
Cosmic Conflict (USA)>Cosmic Conflict (USA)>1978>HSRS - GA (General Audience)>Magnavox>>Shooter
Demon Attack (USA, Europe)>Demon Attack (USA, Europe)>1983>HSRS - GA (General Audience)>Imagic>>Shooter
Depth Charge + Marksman (Europe)>Depth Charge + Marksman (Europe)>1979>HSRS - GA (General Audience)>Philips>>Shooter
Dynasty (USA)>Dynasty (USA)>1978>HSRS - GA (General Audience)>Magnavox>>Strategy
Electronic Table Soccer (USA, Europe)>Electronic Table Soccer (USA, Europe)>1980>HSRS - GA (General Audience)>Magnavox>>Sports/Soccer
Exojet (France)>Exojet (France)>1980>HSRS - GA (General Audience)>Jopac>>Shooter
Football (USA, Europe)>Football (USA, Europe)>1978>HSRS - GA (General Audience)>Magnavox>>Sports/Football
Freedom Fighters (USA, Europe)>Freedom Fighters (USA, Europe)>1982>HSRS - GA (General Audience)>Philips>>Shooter
Frogger (Europe)>Frogger (Europe)>1982>HSRS - GA (General Audience)>Parker Bros.>>Action
Great Wall Street Fortune Hunt, The (USA, Europe)>Great Wall Street Fortune Hunt, The (USA, Europe)>1978>HSRS - GA (General Audience)>Philips>>Simulation
Hockey + Soccer (USA, Europe)>Hockey + Soccer (USA, Europe)>1978>HSRS - GA (General Audience)>Magnavox>>Sports/Hockey
I've Got Your Number (USA, Europe)>I've Got Your Number (USA, Europe)>1978>HSRS - GA (General Audience)>Magnavox>>Miscellaneous
Interpol (Europe) (Proto)>Interpol (Europe) (Proto)>2000>HSRS - GA (General Audience)>GST Video>>Action
Invaders from Hyperspace (USA)>Invaders from Hyperspace (USA)>1979>HSRS - GA (General Audience)>Magnavox>>Shooter
J.G. Munchkin (USA, Brazil) (Unl)>J.G. Munchkin (USA, Brazil) (Unl)>1980>HSRS - GA (General Audience)>Magnavox>>Maze
K.C. Munchkin (USA)>K.C. Munchkin (USA)>1981>HSRS - GA (General Audience)>Philips>>Maze
K.C.'s Krazy Chase (USA, Europe)>K.C.'s Krazy Chase (USA, Europe)>1982>HSRS - GA (General Audience)>Philips>>Maze
Keyboard Creations (USA)>Keyboard Creations (USA)>1978>HSRS - GA (General Audience)>Philips>>Miscellaneous
Kill The Attacking Aliens (Europe)>Kill The Attacking Aliens (Europe)>2003>HSRS - GA (General Audience)>Soeren Gurst>>Shooter
Killer Bees (USA)>Killer Bees (USA)>1978>HSRS - GA (General Audience)>Philips>>Action
Kinder im Verkehr 1 (Germany)>Kinder im Verkehr 1 (Germany)>1982>HSRS - GA (General Audience)>Philips>>Miscellaneous
