1942 (1987)(ASCII)(JP)>1942>1987>Other - NR (Not Rated)>Capcom>>shooter
Alpha (1986)(Square)(JP)>Alpha>1986>Other - NR (Not Rated)>Square>>adventure
Ancient Ys - Vanished Omen (1987-10)(Falcom)(JP)[Data Disk]>Ancient Ys - Vanished Omen - Data Disk>1987>Other - NR (Not Rated)>Falcom>>rpg
Ancient Ys - Vanished Omen (1987-10)(Falcom)(JP)(Disk 1 of 2)>Ancient Ys - Vanished Omen - Disk 1>1987>Other - NR (Not Rated)>Falcom>>rpg
Ancient Ys - Vanished Omen (1987-10)(Falcom)(JP)(Disk 2 of 2)>Ancient Ys - Vanished Omen - Disk 2>1987>Other - NR (Not Rated)>Falcom>>rpg
Arion (1986)(ASCII)(JP)>Arion>1986>Other - NR (Not Rated)>ASCII>>adventure
Arion (1986)(ASCII)(JP)(Disk 1 of 2)>Arion - Disk 1>1986>Other - NR (Not Rated)>AscII>>adventure
Arion (1986)(ASCII)(JP)(Disk 2 of 2)>Arion - Disk 2>1986>Other - NR (Not Rated)>ASCII>>adventure
Bisyoujyo Syasinkan Moving School (1987)(Hard)(JP)>Bisyoujyo Syasinkan Moving School>>Other - NR (Not Rated)>Hard>>adult
Castle Excellent (1985)(ASCII)(JP)>Castle Excellent>1985>Other - NR (Not Rated)>Cherry Soft>>platform
Christine (1986)(PSK)(JP)>Christine>1986>Other - NR (Not Rated)>PSK>>adult
Count, The (1985)(Star Craft)(JP)>Count, The>1985>Other - NR (Not Rated)>Star Craft>>adventure
Crisis Mountain (1984)(Comptiq)(JP)>Crisis Mountain>>Other - NR (Not Rated)>>>
Dai Senryaku FM (1987)(System Sacom)(JP)>Dai Senryaku FM>1987>Other - NR (Not Rated)>System Sacom>>strategy
Dark Crystal, The (1984)(Star Craft)(JP)>Dark Crystal, The>1984>Other - NR (Not Rated)>Star Craft>>adventure
Dezeni Land (1983)(HUDSON)(JP)>Dezeni Land>>Other - NR (Not Rated)>>>
Final Lolita (1985)(PSK)(JP)>Final Lolita>>Other - NR (Not Rated)>>>
Gambler Jikotyusinha (1989)(Game Arts)(JP)>Gambler Jikotyusinha>>Other - NR (Not Rated)>>>
Girls Paradise (1989)(Great)(JP)>Girls Paradise>>Other - NR (Not Rated)>>>
Golfkyo (1983)(Hudson)(JP)>Golfkyo>>Other - NR (Not Rated)>>>
Greed (1986)(Ponyca)(JP)>Greed>>Other - NR (Not Rated)>>>
Helicoid (1985)(Micro Net)(JP)>Helicoid>>Other - NR (Not Rated)>>>
Hokuto no Ken (1986)(ENIX)(JP)>Hokuto no Ken>>Other - NR (Not Rated)>>>
Hydlide II (1986)(T & E Soft)(JP)>Hydlide II>>Other - NR (Not Rated)>>>
Kenja no Yuigon (1987)(ASCII)(JP)>Kenja no Yuigon>>Other - NR (Not Rated)>>>
Knight of Wonder Land, The (1983)(Humming Bird)(JP)>Knight of Wonder Land, The>>Other - NR (Not Rated)>>>
Kugyokuden (1986)(Tecno Soft)(JP)>Kugyokuden>>Other - NR (Not Rated)>>>
Laydock (1986)(T&E)(JP)>Laydock>>Other - NR (Not Rated)>>>
Lupin The Third The Castle of Cagliostro (1985)(Toho)(JP)>Lupin The Third The Castle of Cagliostro>>Other - NR (Not Rated)>>>
Luxsor (1987)(Telenet)(JP)>Luxsor>>Other - NR (Not Rated)>>>
Luxsor Night over Egypt (1986)(Telenet)(JP)(Disk 1 of 2)>Luxsor Night over Egypt>>Other - NR (Not Rated)>>>
Luxsor Night over Egypt (1986)(Telenet)(JP)(Disk 2 of 2)>Luxsor Night over Egypt>>Other - NR (Not Rated)>>>
Mah-jongg Kyo Jidai Special (1988)(Micro Net)(JP)>Mah-jongg Kyo Jidai Special>>Other - NR (Not Rated)>>>
Mahou Tukai no Desi (1986)(Tsukumo)(JP)>Mahou Tukai no Desi>>Other - NR (Not Rated)>>>
Mahou Tukai no Desi 2 (1986)(Tsukumo)(JP)>Mahou Tukai no Desi 2>>Other - NR (Not Rated)>>>
Megami Tensei (1987)(Telenet)(JP)>Megami Tensei>>Other - NR (Not Rated)>>>
Merchen Veil I (1987)(System Sacom)(JP)>Merchen Veil I>>Other - NR (Not Rated)>>>
Might And Magic (1987)(Star Craft)(JP)>Might And Magic>>Other - NR (Not Rated)>>>
Miner 2049er (1984)(Comptiq)(JP)>Miner 2049er>>Other - NR (Not Rated)>>>
Mission Impossible (1984)(Star Craft)(JP)>Mission Impossible>>Other - NR (Not Rated)>>>
Mugen Sensi Valis (1987)(Telenet)(JP)>Mugen Sensi Valis>>Other - NR (Not Rated)>>>
Nobunagan no Yabou Zenkokuban (1987)(Koei)(JP)>Nobunagan no Yabou Zenkokuban>>Other - NR (Not Rated)>>>
Palms,The (1983)(Humming Bird)(JP)>Palms,The>>Other - NR (Not Rated)>>>
Princess Quest (1986)(Packs Electronica)(JP)>Princess Quest>>Other - NR (Not Rated)>>>
Pro Yakyu Fan (1988)(Telenet)(JP)>Pro Yakyu Fan>>Other - NR (Not Rated)>>>
Psy-O-Blade (1988)(T&E SOFT)(JP)>Psy-O-Blade>>Other - NR (Not Rated)>>>
Quest, The (1984)(Star Craft)(JP)>Quest, The>>Other - NR (Not Rated)>>>
Relics (1986)(Bothtec)(JP)>Relics>>Other - NR (Not Rated)>>>
Return of Ishtar, The (1989)(SPS)(JP)>Return of Ishtar, The>>Other - NR (Not Rated)>>>
Reviver (1987)(Arsys)(JP)>Reviver>>Other - NR (Not Rated)>>>
Riglas (1986)(Random House)(JP)>Riglas>>Other - NR (Not Rated)>>>
Seles (1990)(ASCII)(JP)>Seles>>Other - NR (Not Rated)>>>
SF Tyoujigen Densetsu Rall (1988)(Ponyca)(JP)>SF Tyoujigen Densetsu Rall>>Other - NR (Not Rated)>>>
Silpheed (1988)(Game Arts)(JP)(Disk 1 of 2)>Silpheed>>Other - NR (Not Rated)>>>
Silpheed (1988)(Game Arts)(JP)(Disk 2 of 2)>Silpheed>>Other - NR (Not Rated)>>>
Silpheed (1988)(Game Arts)(JP)>Silpheed>>Other - NR (Not Rated)>>>
Soukoban 2 (1984)(Thinking Rabbit)(JP)>Soukoban 2>>Other - NR (Not Rated)>>>
Space Harrier (1987)(Dempa)(JP)>Space Harrier>>Other - NR (Not Rated)>>>
Strange Odyssey (1984)(Star Craft)(JP)>Strange Odyssey>>Other - NR (Not Rated)>>>
Super Kanji Jyusyoroku (198x)(Falcom)(JP)>Super Kanji Jyusyoroku>>Other - NR (Not Rated)>>>
Syonen Mike no Hitoritabi (1986)(Soft Bank)(JP)>Syonen Mike no Hitoritabi>>Other - NR (Not Rated)>>>
Taiyou no Sinden (1986)(Falcom)(JP)>Taiyou no Sinden>>Other - NR (Not Rated)>>>
Take the A-Train (1986)(Artdink)(JP)>Take the A-Train>>Other - NR (Not Rated)>>>
Tetris (1988)(BPS)(JP)>Tetris>>Other - NR (Not Rated)>>>
Thunder Force (1984)(Tecno Soft)(JP)>Thunder Force>>Other - NR (Not Rated)>>>
Toritorn (1986)(Sein Soft)(JP)>Toritorn>>Other - NR (Not Rated)>>>
Tower of Druaga, The (1986)(Dempa)(JP)>Tower of Druaga, The>>Other - NR (Not Rated)>>>
Transylvania (1983)(Star Craft)(JP)>Transylvania>>Other - NR (Not Rated)>>>
Ulysses and The Golden Fleece (1983)(Star Craft)(JP)>Ulysses and The Golden Fleece>>Other - NR (Not Rated)>>>
Urusei Yatura (1987)(Micro Cabin)(JP)>Urusei Yatura>>Other - NR (Not Rated)>>>
Utukusiki Emonotati (1986)(Great)(JP)>Utukusiki Emonotati>>Other - NR (Not Rated)>>>
Voodoo Castle (1984)(Star Craft)(JP)>Voodoo Castle>>Other - NR (Not Rated)>>>
Weird 2 (1985)(Policy)(JP)>Weird 2>>Other - NR (Not Rated)>>>
Wibarm (1986)(Arsys)(JP)>Wibarm>>Other - NR (Not Rated)>>>
Wing Man2 (1986)(ENIX)(JP)>Wing Man2>>Other - NR (Not Rated)>>>
Wizard And The Princess (1983)(Star Craft)(JP)>Wizard And The Princess>>Other - NR (Not Rated)>>>
Wizardry #1 Proving Grounds of The Mad Overload (1985)(ASCII)(JP)>Wizardry #1 Proving Grounds of The Mad Overload>>Other - NR (Not Rated)>>>
Wizardry #2 The Knight of Diamonds (1986)(ASCII)(JP)>Wizardry #2 The Knight of Diamonds>>Other - NR (Not Rated)>>>
Wizardry #3 Legacy of Llylgamyn (1987)(ASCII)(JP)>Wizardry #3 Legacy of Llylgamyn>>Other - NR (Not Rated)>>>
Wizardry #4 The Return of Werdna (1989)(ASCII)(JP)(Disk 1 of 3)>Wizardry #4 The Return of Werdna>>Other - NR (Not Rated)>>>
