3rd Degree (USA)>3rd Degree (USA)>1993>Other - NR (Not Rated)>PF.Magic>>Board Games
7th Guest, The (USA)>7th Guest, The (USA)>1994>Other - NR (Not Rated)>Trilobyte>>Adventure
ABC Sports Presents - Power Hitter (USA)>ABC Sports Presents - Power Hitter (USA)>1993>Other - NR (Not Rated)>Fathom Pictures>>Sports/Baseball
ABC Sports Presents - The Palm Springs Open (USA)>ABC Sports Presents - The Palm Springs Open (USA)>1991>Other - NR (Not Rated)>Fathom Pictures>>Sports/Golf
Accelerator (Europe)>Accelerator (Europe)>1997>Other - NR (Not Rated)>The Vision Factory>>Driving
Alfapet (Sweden)>Alfapet (Sweden)>1993>Other - NR (Not Rated)>Adatek>>Board Games
Alice in Wonderland (USA)>Alice in Wonderland (USA)>1992>Other - NR (Not Rated)>Spinnaker Software>>Adventure
Alien Gate (Europe)>Alien Gate (Europe)>1993>Other - NR (Not Rated)>Vision Games>>Action
Apprentice, The (Europe)>Apprentice, The (Europe)>1994>Other - NR (Not Rated)>The Vision Factory>>Action
Arcade Classics (Europe)>Arcade Classics (Europe)>1996>Other - NR (Not Rated)>Namco>>Miscellaneous
Archeon CD-i Quiz (Netherlands)>Archeon CD-i Quiz (Netherlands)>1994>Other - NR (Not Rated)>Wigant Interactive Media>>Quiz
Asterix - Caesar's Challenge (Europe)>Asterix - Caesar's Challenge (Europe)>1995>Other - NR (Not Rated)>Infogrames>>Platform
Atlantis - The Last Resort (Europe)>Atlantis - The Last Resort (Europe)>1996>Other - NR (Not Rated)>Philips Media>>Platform
Axis and Allies (USA)>Axis and Allies (USA)>1994>Other - NR (Not Rated)>CapDisc>>Board Games
Backgammon (USA, Europe)>Backgammon (USA, Europe)>1992>Other - NR (Not Rated)>Capitol Disc Interactive>>Board Games
Battleship (USA, Europe)>Battleship (USA, Europe)>1991>Other - NR (Not Rated)>CapDisc>>Board Games
Brain Dead 13 (Europe)>Brain Dead 13 (Europe)>1997>Other - NR (Not Rated)>ReadySoft>>Adventure
BURN-CYCLE (USA)>BURN-CYCLE (USA)>1994>Other - NR (Not Rated)>Trip Media>>Puzzle
Caesars World of Boxing (USA)>Caesars World of Boxing (USA)>1993>Other - NR (Not Rated)>CD-I Systems>>Sports/Boxing
