4-TRIS (World)>4-TRIS (World)>2000>HSRS - GA (General Audience)>Joseph Zbiciak>>Puzzle
ABPA Backgammon (World)>ABPA Backgammon (World)>1978>HSRS - GA (General Audience)>Mattel>>Board Games
Advanced Dungeons & Dragons (World)>Advanced Dungeons & Dragons (World)>1982>HSRS - GA (General Audience)>Mattel>>Role-Playing
Advanced Dungeons & Dragons - Treasure of Tarmin (World)>Advanced Dungeons & Dragons - Treasure of Tarmin (World)>1982>HSRS - GA (General Audience)>Mattel>>Role-Playing
Armor Battle (World)>Armor Battle (World)>1978>HSRS - GA (General Audience)>Mattel>>Action
Astrosmash (World)>Astrosmash (World)>1981>HSRS - GA (General Audience)>Mattel>>Shooter
Atlantis (World)>Atlantis (World)>1982>HSRS - GA (General Audience)>Imagic>>Shooter
Auto Racing (World)>Auto Racing (World)>1979>HSRS - GA (General Audience)>Mattel>>Driving
B-17 Bomber (World)>B-17 Bomber (World)>1981>HSRS - GA (General Audience)>Mattel>>Flying
BeamRider (World)>BeamRider (World)>1983>HSRS - GA (General Audience)>Activision>>Shooter
Beauty and the Beast (World)>Beauty and the Beast (World)>1982>HSRS - GA (General Audience)>Imagic>>Platform
Blockade Runner (World)>Blockade Runner (World)>1983>HSRS - GA (General Audience)>Interphase>>Shooter
Body Slam - Super Pro Wrestling (World)>Body Slam - Super Pro Wrestling (World)>1988>HSRS - GA (General Audience)>Intv Corp>>Sports/Wrestling
Bomb Squad (World)>Bomb Squad (World)>1982>HSRS - GA (General Audience)>Mattel>>Puzzle
Boxing (World)>Boxing (World)>1980>HSRS - GA (General Audience)>Mattel>>Sports/Boxing
Bump 'N' Jump (World)>Bump \'N\' Jump (World)>1983>HSRS - GA (General Audience)>Mattel>>Driving
BurgerTime (World)>BurgerTime (World)>1982>HSRS - GA (General Audience)>Mattel>>Platform
Buzz Bombers (World)>Buzz Bombers (World)>1982>HSRS - GA (General Audience)>Mattel>>Shooter
Carnival (World)>Carnival (World)>1982>HSRS - GA (General Audience)>Coleco-CBS>>Shooter
Centipede (World)>Centipede (World)>1983>HSRS - GA (General Audience)>Atarisoft>>Shooter
Championship Tennis (World)>Championship Tennis (World)>1985>HSRS - GA (General Audience)>Nice Ideas>>Sports/Tennis
Checkers (World)>Checkers (World)>1978>HSRS - GA (General Audience)>Mattel>>Board Games
Chip Shot - Super Pro Golf (World)>Chip Shot - Super Pro Golf (World)>1987>HSRS - GA (General Audience)>Intv Corp>>Sports/Golf
Commando (World)>Commando (World)>1987>HSRS - GA (General Audience)>Intv Corp>>Shooter
Congo Bongo (World)>Congo Bongo (World)>1983>HSRS - GA (General Audience)>Sega>>Platform
Deep Pockets - Super Pro Pool and Billiards (World)>Deep Pockets - Super Pro Pool and Billiards (World)>1990>HSRS - GA (General Audience)>Realtime/Intv Corp>>Sports/Pool and Dart
Defender (World)>Defender (World)>1983>HSRS - GA (General Audience)>Atarisoft>>Shooter
Demon Attack (World)>Demon Attack (World)>1982>HSRS - GA (General Audience)>Imagic>>Shooter
Dig Dug (World)>Dig Dug (World)>1987>HSRS - GA (General Audience)>Intv Corp>>Maze
Diner (World)>Diner (World)>1987>HSRS - GA (General Audience)>Intv Corp>>Platform
Donkey Kong (World)>Donkey Kong (World)>1982>HSRS - GA (General Audience)>Coleco>>Platform
Donkey Kong Jr (World)>Donkey Kong Jr (World)>1983>HSRS - GA (General Audience)>Coleco>>Platform
Dracula (World)>Dracula (World)>1982>HSRS - GA (General Audience)>Imagic>>Action
Dragonfire (World)>Dragonfire (World)>1982>HSRS - GA (General Audience)>Imagic>>Action
