astrobom>Astro Bomber>1984>Other - NR (Not Rated)>Epoch>>Shoot-'Em-Up
blockmaz>Block Maze>1984>Other - NR (Not Rated)>Epoch>>Action
pokemahj>Mahjong>1984>Other - NR (Not Rated)>Epoch>>Mahjong
zboxing>Paint>1984>Other - NR (Not Rated)>Epoch>>Miscellaneous
pokereve>Reversi>1984>Other - NR (Not Rated)>Epoch>>Puzzle
soukoban>Store Keepers>1984>Other - NR (Not Rated)>Epoch>>Puzzle
