2020bb>2020 Super Baseball (set 1)>1991>Other - NR (Not Rated)>SNK / Pallas>>Sports/Baseball
2020bba>2020 Super Baseball (set 2)>1991>Other - NR (Not Rated)>SNK / Pallas>>Sports/Baseball
2020bbh>2020 Super Baseball (set 3)>1991>Other - NR (Not Rated)>SNK / Pallas>>Sports/Baseball
3countb>3 Count Bout / Fire Suplex (NGM-043)(NGH-043)>1993>Other - NR (Not Rated)>SNK>>Sports/Wrestling
aodk>Aggressors of Dark Kombat / Tsuukai GANGAN Koushinkyoku (ADM-008)(ADH-008)>1994>Other - NR (Not Rated)>ADK / SNK>>Fighter
alphamis>Alpha Mission>1985>Other - NR (Not Rated)>SNK>>Shoot-'Em-Up
alpham2>Alpha Mission II / ASO II - Last Guardian (NGM-007)(NGH-007)>1991>Other - NR (Not Rated)>SNK>>Shoot-'Em-Up
alpham2p>Alpha Mission II / ASO II - Last Guardian (prototype)>1991>Other - NR (Not Rated)>SNK>>Shoot-'Em-Up
arian>Arian Mission>1985>Other - NR (Not Rated)>SNK>>Shoot-'Em-Up
aof>Art of Fighting / Ryuuko no Ken (NGM-044)(NGH-044)>1992>Other - NR (Not Rated)>SNK>>Fighter
aof2a>Art of Fighting 2 / Ryuuko no Ken 2 (NGH-056)>1994>Other - NR (Not Rated)>SNK>>Fighter
aof2>Art of Fighting 2 / Ryuuko no Ken 2 (NGM-056)>1994>Other - NR (Not Rated)>SNK>>Fighter
aof3k>Art of Fighting 3 - The Path of the Warrior (Korean release)>1996>Other - NR (Not Rated)>SNK>>Fighter
aof3>Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden>1996>Other - NR (Not Rated)>SNK>>Fighter
aso>ASO - Armored Scrum Object>1985>Other - NR (Not Rated)>SNK>>Shoot-'Em-Up
athena>Athena>1986>Other - NR (Not Rated)>SNK>>Platform
bstars2>Baseball Stars 2>1992>Other - NR (Not Rated)>SNK>>Sports/Baseball
bstarsh>Baseball Stars Professional (NGH-002)>1990>Other - NR (Not Rated)>SNK>>Sports/Baseball
bstars>Baseball Stars Professional (NGM-002)>1990>Other - NR (Not Rated)>SNK>>Sports/Baseball
pc_bstar>Baseball Stars: Be a Champ! (PlayChoice-10)>1989>Other - NR (Not Rated)>SNK (Nintendo of America license)>>Sports/Baseball
btlfield>Battle Field (Japan)>1987>Other - NR (Not Rated)>Alpha Denshi Co. (SNK license)>>Shooter
bbustersu>Beast Busters (US, Version 2)>1989>Other - NR (Not Rated)>SNK>>Gun
bbusters>Beast Busters (World)>1989>Other - NR (Not Rated)>SNK>>Gun
bermudatj>Bermuda Triangle (Japan)>1987>Other - NR (Not Rated)>SNK>>Shoot-'Em-Up
bermudata>Bermuda Triangle (World Wars) (US)>1987>Other - NR (Not Rated)>SNK>>Shoot-'Em-Up
bermudat>Bermuda Triangle (World?)>1987>Other - NR (Not Rated)>SNK>>Shoot-'Em-Up
burningfh>Burning Fight (NGH-018)(US)>1991>Other - NR (Not Rated)>SNK>>Beat-'Em-Up
burningf>Burning Fight (NGM-018)(NGH-018)>1991>Other - NR (Not Rated)>SNK>>Beat-'Em-Up
burningfp>Burning Fight (prototype)>1991>Other - NR (Not Rated)>SNK>>Beat-'Em-Up
canvas>Canvas Croquis>1985>Other - NR (Not Rated)>SNK>>Maze
chopper>Chopper I (US set 1)>1988>Other - NR (Not Rated)>SNK>>Shoot-'Em-Up
choppera>Chopper I (US set 2)>1988>Other - NR (Not Rated)>SNK>>Shoot-'Em-Up
chopperb>Chopper I (US set 3)>1988>Other - NR (Not Rated)>SNK>>Shoot-'Em-Up
countryc>Country Club>1988>Other - NR (Not Rated)>SNK>>Sports/Golf
cyberlip>Cyber-Lip (NGM-010)>1990>Other - NR (Not Rated)>SNK>>Platform
powj>Datsugoku - Prisoners of War (Japan)>1988>Other - NR (Not Rated)>SNK>>Beat-'Em-Up
dogosoke>Dogou Souken>1986>Other - NR (Not Rated)>SNK>>Shooter
eightman>Eight Man (NGM-025)(NGH-025)>1991>Other - NR (Not Rated)>SNK / Pallas>>Beat-'Em-Up
fantasyj>Fantasy (Japan)>1981>Other - NR (Not Rated)>SNK>>Maze
fantasyu>Fantasy (US)>1981>Other - NR (Not Rated)>SNK (Rock-Ola license)>>Maze
fantasy>Fantasy (World)>1981>Other - NR (Not Rated)>SNK>>Maze
fatfury1>Fatal Fury - King of Fighters / Garou Densetsu - shukumei no tatakai (NGM-033)(NGH-033)>1991>Other - NR (Not Rated)>SNK>>Fighter
fatfury2>Fatal Fury 2 / Garou Densetsu 2 - arata-naru tatakai (NGM-047)(NGH-047)>1992>Other - NR (Not Rated)>SNK>>Fighter
fatfury3>Fatal Fury 3 - Road to the Final Victory / Garou Densetsu 3 - haruka-naru tatakai (NGM-069)(NGH-069)>1995>Other - NR (Not Rated)>SNK>>Fighter
fatfursp>Fatal Fury Special / Garou Densetsu Special (set 1)(NGM-058)(NGH-058)>1993>Other - NR (Not Rated)>SNK>>Fighter
fatfurspa>Fatal Fury Special / Garou Densetsu Special (set 2)(NGM-058)(NGH-058)>1993>Other - NR (Not Rated)>SNK>>Fighter
fswords>Fighters Swords (Korean release of Samurai Shodown III)>1995>Other - NR (Not Rated)>SNK>>Fighter
fitegolfu>Fighting Golf (US)>1988>Other - NR (Not Rated)>SNK>>Sports/Golf
fitegolf>Fighting Golf (World?)>1988>Other - NR (Not Rated)>SNK>>Sports/Golf
fsoccerj>Fighting Soccer (Japan)>1988>Other - NR (Not Rated)>SNK>>Sports/Soccer
fsoccer>Fighting Soccer (version 4)>1988>Other - NR (Not Rated)>SNK>>Sports/Soccer
fbfrenzy>Football Frenzy (NGM-034)(NGH-034)>1992>Other - NR (Not Rated)>SNK>>Sports/Football
garou>Garou - Mark of the Wolves (NGM-2530)>1999>Other - NR (Not Rated)>SNK>>Fighter
garouh>Garou - Mark of the Wolves (NGM-2530)(NGH-2530)>1999>Other - NR (Not Rated)>SNK>>Fighter
garoup>Garou - Mark of the Wolves (prototype)>1999>Other - NR (Not Rated)>SNK>>Fighter
gensitou>Genshi-Tou 1930's>1989>Other - NR (Not Rated)>SNK>>Shoot-'Em-Up
gpilotsh>Ghost Pilots (NGH-020)(US)>1991>Other - NR (Not Rated)>SNK>>Shoot-'Em-Up
gpilots>Ghost Pilots (NGM-020)(NGH-020)>1991>Other - NR (Not Rated)>SNK>>Shoot-'Em-Up
sgladiat>Gladiator 1984>1984>Other - NR (Not Rated)>SNK>>Platform
goldmedl>Gold Medalist (set 1)>1988>Other - NR (Not Rated)>SNK>>Sports/Track & Field
goldmedla>Gold Medalist (set 2)>1988>Other - NR (Not Rated)>SNK>>Sports/Track & Field
gwar>Guerrilla War (US)>1987>Other - NR (Not Rated)>SNK>>Shooter
gwara>Guerrilla War (Version 1)>1987>Other - NR (Not Rated)>SNK>>Shooter
gwarj>Guevara (Japan)>1987>Other - NR (Not Rated)>SNK>>Shooter
hal21>HAL21>1985>Other - NR (Not Rated)>SNK>>Shoot-'Em-Up
hal21j>HAL21 (Japan)>1985>Other - NR (Not Rated)>SNK>>Shoot-'Em-Up
ikarijp>Ikari (Japan No Continues)>1986>Other - NR (Not Rated)>SNK>>Shooter
ikari3u>Ikari III - The Rescue (US, Rotary Joystick)>1989>Other - NR (Not Rated)>SNK>>Shooter
ikari3>Ikari III - The Rescue (World, 8-Way Joystick)>1989>Other - NR (Not Rated)>SNK>>Shooter
ikari3j>Ikari Three (Japan, Rotary Joystick)>1989>Other - NR (Not Rated)>SNK>>Shooter
ikari3k>Ikari Three (Korea, 8-Way Joystick)>1989>Other - NR (Not Rated)>SNK>>Shooter
