1337 (Europe) (Unl)>1337 (Europe) (Unl)>2010>Other - NR (Not Rated)>Defence Force>>Strategy
1K Centipede (Europe) (Unl)>1K Centipede (Europe) (Unl)>2011>Other - NR (Not Rated)>Stephane Geley>>Shoot-'Em-Up
1K Snake (Europe) (Unl)>1K Snake (Europe) (Unl)>2006>Other - NR (Not Rated)>Stephane Geley>>Action
1K Space (Europe) (Unl)>1K Space (Europe) (Unl)>2006>Other - NR (Not Rated)>Stephane Geley>>Shoot-'Em-Up
1K Sudoku (Europe) (Unl)>1K Sudoku (Europe) (Unl)>2011>Other - NR (Not Rated)>Stephane Geley>>Puzzle
3 X 3 (Europe)>3 X 3 (Europe)>1989>Other - NR (Not Rated)>O.N. Software>>Board Games
3-D Battlestar Defence (Europe)>3-D Battlestar Defence (Europe)>1984>Other - NR (Not Rated)>Topaz Software>>Shoot-'Em-Up
3D - Noughts and Crosses (Europe)>3D - Noughts and Crosses (Europe)>1984>Other - NR (Not Rated)>IJK Software>>Board Games
3D Fongus (France)>3D Fongus (France)>1985>Other - NR (Not Rated)>Loriciels>>Action
3D Link (Europe)>3D Link (Europe)>1983>Other - NR (Not Rated)>Tansoft>>Board Games
3D Maze (Europe)>3D Maze (Europe)>1983>Other - NR (Not Rated)>IJK Software>>Maze
3D Munch (France)>3D Munch (France)>1985>Other - NR (Not Rated)>Loriciels>>Maze
3K FreeCell (Europe) (Unl)>3K FreeCell (Europe) (Unl)>2013>Other - NR (Not Rated)>Defence Force>>Puzzle
4 Games for Children (Europe)>4 Games for Children (Europe)>1983>Other - NR (Not Rated)>Kindersoft>>Educational
48K Oric Golf (Europe)>48K Oric Golf (Europe)>1983>Other - NR (Not Rated)>R & R Software>>Sports/Golf
4KBox (Europe) (Unl)>4KBox (Europe) (Unl)>2004>Other - NR (Not Rated)>Stephane Geley>>Puzzle
4KFire (Europe) (Unl)>4KFire (Europe) (Unl)>2004>Other - NR (Not Rated)>Stephane Geley>>Action
4KGyro (Europe) (Unl)>4KGyro (Europe) (Unl)>2005>Other - NR (Not Rated)>Stephane Geley>>Action
4KKong (Europe) (Unl)>4KKong (Europe) (Unl)>2003>Other - NR (Not Rated)>Mickael Pointier (Dbug)>>Action
7eme Dan, Le (France) (Unl)>7eme Dan, Le (France) (Unl)>19xx>Other - NR (Not Rated)>Jean-Pierre Ferrand>>Fighter
A.T.M. (France)>A.T.M. (France)>1985>Other - NR (Not Rated)>Cobra Soft>>Shoot-'Em-Up
Acheron's Rage (Europe)>Acheron's Rage (Europe)>1983>Other - NR (Not Rated)>Softek>>Shoot-'Em-Up
Adventure Quest (Europe)>Adventure Quest (Europe)>1983>Other - NR (Not Rated)>Level 9 Computing>>Adventure
Adventureland (Adventure International) (Europe)>Adventureland (Adventure International) (Europe)>1998>Other - NR (Not Rated)>Adventure International>>Adventure
Adventureland (Pasesoft) (Europe)>Adventureland (Pasesoft) (Europe)>1983>Other - NR (Not Rated)>Pasesoft>>Adventure
Airfox (Europe)>Airfox (Europe)>1988>Other - NR (Not Rated)>Starsoft>>Shoot-'Em-Up
Airline (Europe)>Airline (Europe)>1983>Other - NR (Not Rated)>Cases Computer Simulations>>Strategy
