007 Legends (USA)>007 Legends (USA)>2012>Other - NR (Not Rated)>Activision>>Shooter
Adventure Time - Explore the Dungeon Because I Don't Know! (USA)>Adventure Time: Explore the Dungeon Because I Don't Know! (USA)>2013>Other - NR (Not Rated)>D3Publisher>>Adventure
Adventure Time - Finn and Jake Investigations (USA)>Adventure Time: Finn and Jake Investigations (USA)>2015>Other - NR (Not Rated)>Little Orbit>>Adventure
Amazing Spider-Man 2, The (USA)>Amazing Spider-Man 2, The (USA)>2014>Other - NR (Not Rated)>Activision>>Action
Amazing Spider-Man, The - Ultimate Edition (USA)>Amazing Spider-Man, The: Ultimate Edition (USA)>2013>Other - NR (Not Rated)>Activision>>Action
Angry Birds Star Wars (USA)>Angry Birds Star Wars (USA)>2013>Other - NR (Not Rated)>Activision>>Miscellaneous
Angry Birds Trilogy (USA)>Angry Birds Trilogy (USA)>2013>Other - NR (Not Rated)>Activision>>Miscellaneous
Animal Crossing - amiibo Festival (USA)>Animal Crossing: amiibo Festival (USA)>2015>Other - NR (Not Rated)>Nintendo>>Board Games
Art Academy - Atelier (Europe)>Art Academy: Atelier (Europe)>2015>Other - NR (Not Rated)>Nintendo>>Educational
Assassin's Creed III (USA)>Assassin's Creed III (USA)>2012>Other - NR (Not Rated)>Ubisoft>>Action
Assassin's Creed IV - Black Flag (USA)>Assassin's Creed IV: Black Flag (USA)>2013>Other - NR (Not Rated)>Ubisoft>>Action
Baila Latino (Europe)>Baila Latino (Europe)>2015>Other - NR (Not Rated)>Oxygene>>Rhythm
Barbie and Her Sisters - Puppy Rescue (USA)>Barbie and Her Sisters: Puppy Rescue (USA)>2015>Other - NR (Not Rated)>Little Orbit>>Virtual Life
Barbie Dreamhouse Party (USA)>Barbie Dreamhouse Party (USA)>2013>Other - NR (Not Rated)>Little Orbit>>Adventure
Batman - Arkham City - Armored Edition (USA)>Batman: Arkham City - Armored Edition (USA)>2012>Other - NR (Not Rated)>Warner Bros. Interactive Entertainment>>Action
Batman - Arkham Origins (USA)>Batman: Arkham Origins (USA)>2013>Other - NR (Not Rated)>Warner Bros. Interactive Entertainment>>Action
Bayonetta (USA)>Bayonetta (USA)>2014>Other - NR (Not Rated)>Nintendo>>Action
Bayonetta 2 (USA)>Bayonetta 2 (USA)>2014>Other - NR (Not Rated)>Nintendo>>Action
Ben 10 - Omniverse (USA)>Ben 10: Omniverse (USA)>2012>Other - NR (Not Rated)>D3Publisher>>Action
Ben 10 - Omniverse 2 (USA)>Ben 10: Omniverse 2 (USA)>2013>Other - NR (Not Rated)>D3Publisher>>Action
Brunswick Pro Bowling (USA)>Brunswick Pro Bowling (USA)>2015>Other - NR (Not Rated)>Alliance Digital Media>>Sports/Bowling
Cabela's Big Game Hunter - Pro Hunts (USA)>Cabela's Big Game Hunter: Pro Hunts (USA)>2014>Other - NR (Not Rated)>Activision>>Sports/Hunting
Cabela's Dangerous Hunts 2013 (USA)>Cabela's Dangerous Hunts 2013 (USA)>2012>Other - NR (Not Rated)>Activision>>Sports/Hunting
Call of Duty - Black Ops II (USA)>Call of Duty: Black Ops II (USA)>2012>Other - NR (Not Rated)>Activision>>Shooter
Call of Duty - Ghosts (USA)>Call of Duty: Ghosts (USA)>2013>Other - NR (Not Rated)>Activision>>Shooter
