Dragon Attack (1983)(Takara)(Jp)>Dragon Attack>1983>Other - NR (Not Rated)>Takara>>shoot-em up
Eskimon (1984)(Takara)(Jp)>Eskimoh>1984>Other - NR (Not Rated)>Takara>>action
Fruit Search (1983)(Takara)(Jp)>Fruit Search>1983>Other - NR (Not Rated)>Takara>>puzzle
Funny Mouse (1983)(Takara)(Jp)>Funny Mouse>1983>Other - NR (Not Rated)>Takara>>platform
Heavy Boxing (1983)(Takara)(Jp)>Heavy Boxing>1983>Other - NR (Not Rated)>Takara>>boxing
Pooyan (1982)(Konami)(Jp)>Pooyan>1982>Other - NR (Not Rated)>Konami>>action
Real Tennis (1983)(Takara)(Jp)>Real Tennis>1983>Other - NR (Not Rated)>Takara>>tennis
Step Up (1983)(Takara)(Jp)>Step Up>1983>Other - NR (Not Rated)>Takara>>platform
Super Cobra (1981)(Konami)(Jp)>Super Cobra>1981>Other - NR (Not Rated)>Konami>>shoot-em up
Word Maze (19xx)(Sord)(Jp)>Word Maze>198x>Other - NR (Not Rated)>Sord>>puzzle
Zac Banic (19xx)(-)>Zac Banic>198x>Other - NR (Not Rated)>Sord>>shoot-em up
