3D Monster Craze (1983)(Camsoft)(GB)>3D Monster Craze (1983)(Camsoft)(GB)>>Other - NR (Not Rated)
6845p (19xx)(-)(48K-96K-128K)>6845p (19xx)(-)(48K-96K-128K)>>Other - NR (Not Rated)
Aide - Lab-Proc (19xx)(-)(FR)>Aide - Lab-Proc (19xx)(-)(FR)>>Other - NR (Not Rated)
Air Raid (1984)(Camputers)(GB)>Air Raid (1984)(Camputers)(GB)>>Other - NR (Not Rated)
Assembler (19xx)(-)[b2]>Assembler (19xx)(-)[b2]>>Other - NR (Not Rated)
Assembler (19xx)(-)[b]>Assembler (19xx)(-)[b]>>Other - NR (Not Rated)
Backgammon (1983)(Camsoft)(GB)>Backgammon (1983)(Camsoft)(GB)>>Other - NR (Not Rated)
Battlebrick (19xx)(-)>Battlebrick (19xx)(-)>>Other - NR (Not Rated)
Centipede (19xx)(Play It!)>Centipede (19xx)(Play It!)>>Other - NR (Not Rated)
Character Generator Game (1984)(Camputers)(GB)>Character Generator Game (1984)(Camputers)(GB)>>Other - NR (Not Rated)
Colossal Adventure (1983)(Level 9 Computing)(Tape 1 of 5)(48K)[welcome]>Colossal Adventure (1983)(Level 9 Computing)(Tape 1 of 5)(48K)[welcome]>>Other - NR (Not Rated)
Colossal Adventure (1983)(Level 9 Computing)(Tape 2 of 5)(48K)[binary loader]>Colossal Adventure (1983)(Level 9 Computing)(Tape 2 of 5)(48K)[binary loader]>>Other - NR (Not Rated)
Colossal Adventure (1983)(Level 9 Computing)(Tape 3 of 5)(48K)[adventure data]>Colossal Adventure (1983)(Level 9 Computing)(Tape 3 of 5)(48K)[adventure data]>>Other - NR (Not Rated)
Colossal Adventure (1983)(Level 9 Computing)(Tape 4 of 5)(48K)[adventure data]>Colossal Adventure (1983)(Level 9 Computing)(Tape 4 of 5)(48K)[adventure data]>>Other - NR (Not Rated)
Colossal Adventure (1983)(Level 9 Computing)(Tape 5 of 5)(48K)[adventure data]>Colossal Adventure (1983)(Level 9 Computing)(Tape 5 of 5)(48K)[adventure data]>>Other - NR (Not Rated)
Compass v1.1 (1983)(Level 9 Computing)>Compass v1.1 (1983)(Level 9 Computing)>>Other - NR (Not Rated)
Compass v1.1 (1983)(Level 9 Computing)[b2]>Compass v1.1 (1983)(Level 9 Computing)[b2]>>Other - NR (Not Rated)
