Astonishia Story R (Korea)>Astonishia Story R>2002>Other - NR (Not Rated)>Sonnori>>RPG
Blue Angelo - Angels from the Shrine (Europe) (En,Fr,De,Es,It,Pt)>Blue Angelo - Angels from the Shrine>2004>Other - NR (Not Rated)>Virtual Spaghetti>>RPG
Dooly Soccer 2002 (Korea)>Dooly Soccer 2002>2002>Other - NR (Not Rated)>Abyss Game>>Sport
Dungeon & Guarder - Dragon Gore (Europe)>Dungeon & Guarder - Dragon Gore>2001>Other - NR (Not Rated)>Gamepark>>Hack 'n Slash
Dungeon & Guarder - Dragon Gore (Korea)>Dungeon & Guarder - Dragon Gore>2001>Other - NR (Not Rated)>Gamepark>>Hack 'n Slash
Dyhard - With Infinite Stairs (Europe)>Dyhard - With Infinite Stairs>2001>Other - NR (Not Rated)>Kookie Soft>>Action
Dyhard - With Infinite Stairs (Korea)>Dyhard - With Infinite Stairs>2001>Other - NR (Not Rated)>Kookie Soft>>Action
Funny Soccer (Korea)>Funny Soccer>2002>Other - NR (Not Rated)>Metarica>>Action
GP Fight (Korea)>GP Fight>2003>Other - NR (Not Rated)>TeamBlaze>>
Hany Party Game (Korea)>Hany Party Game>2002>Other - NR (Not Rated)>Include>>Puzzle
Her Knights - All for Princess - Deadline (Korea)>Her Knights - All for Princess - Deadline>2002>Other - NR (Not Rated)>Byulbram>>Arcade
Her Knights - All for the Princess (Europe)>Her Knights - All for the Princess>2002>Other - NR (Not Rated)>Byulbram>>Arcade
Kimchiman GP32 (Korea)>Kimchiman GP32>2002>Other - NR (Not Rated)>Spearhead>>Platformer
Little Girl Mill of a Gingko, The (Korea)>Little Girl Mill of a Gingko, The>>Other - NR (Not Rated)>Legendra>>
Little Wizard (Europe)>Little Wizard>2001>Other - NR (Not Rated)>Gamepark>>Fighting
Little Wizard (Korea)>Little Wizard>2001>Other - NR (Not Rated)>Gamepark>>Fighting
OneShot Voca (Korea)>OneShot Voca>2002>Other - NR (Not Rated)>Damasys>>Educational
Pinball Dreams (Korea)>Pinball Dreams>2002>Other - NR (Not Rated)>Logik State>>Pinball
Princess Maker 2 (Korea)>Princess Maker 2>2002>Other - NR (Not Rated)>Ninelives>>Simulation
Rally Pop (Korea)>Rally Pop>2001>Other - NR (Not Rated)>Gamepark>>Strategy
Raphael (Korea)>Raphael>2002>Other - NR (Not Rated)>T3 Entertainment>>Puzzle
Super Plusha (Korea)>Super Plusha>2002>Other - NR (Not Rated)>FaMe Soft>>Platformer
Tanggle's Magic Square (Korea)>Tanggle's Magic Square>2001>Other - NR (Not Rated)>EZ>>Puzzle
Therapy (Korea)>Therapy>2002>Other - NR (Not Rated)>Rosa:6>>Visual Novel
Tomak - Save the Earth, Again (Europe) (v1.0)>Tomak - Save the Earth, Again>2002>Other - NR (Not Rated)>Seed9>>Shooter
Tomak - Save the Earth, Again (Europe) (v2.0)>Tomak - Save the Earth, Again>2002>Other - NR (Not Rated)>Seed9>>Shooter
Tomak - Save the Earth, Again (Korea)>Tomak - Save the Earth, Again>2002>Other - NR (Not Rated)>Seed9>>Shooter
W.B.W. - Wanna Be Wizard! (Korea)>W.B.W. - Wanna Be Wizard!>2004>Other - NR (Not Rated)>A&B Soft>>RPG
Wizard Slayer (Korea)>Wizard Slayer>2002>Other - NR (Not Rated)>FZ Media>>Shooter
Woody & Kunta - Treasure Island (Europe)>Woody & Kunta - Treasure Island>2002>Other - NR (Not Rated)>Gamepark>>Puzzle
Woody & Kunta - Treasure Island (Korea)>Woody & Kunta - Treasure Island>2002>Other - NR (Not Rated)>Gamepark>>Puzzle
