anmlbskt>Animal Basket>2005>AAMA - Green (Suitable For All Ages)>Sammy/Moss>>Sports
demofist>Demolish Fist>2003>AAMA - Yellow (Animated Violence Mild)>Sammy/Dimps>>Beat-'Em-Up
dirtypig>Dirty Pigskin Football>2004>AAMA - Green (Suitable For All Ages)>Sammy>>Football/Sports
dolphin>Dolphin Blue>2003>AAMA - Yellow (Animated Violence Mild)>Sammy>>Shoot-'Em-Up
xtrmhunt>Extreme Hunting>2005>AAMA - Yellow (Life Like Violence Mild)>Sammy>>Gun
xtrmhnt2>Extreme Hunting 2>2006>AAMA - Yellow (Life Like Violence Mild)>Sega>>Gun
ftspeed>Faster Than Speed>2004>AAMA - Green (Suitable For All Ages)>Sammy>>Driving
fotns>Fist of the North Star (Hokuto No Ken)>2005>AAMA - Yellow (Animated Violence Mild)>Sega/ARC System Works>>Fighter
ggisuka>Guilty Gear Isuka>2004>AAMA - Yellow (Animated Violence Mild)>Sammy/ARC System Works>>Fighter
ggx15>Guilty Gear X Ver. 1.5>2003>AAMA - Yellow (Animated Violence Mild)>Sammy/Arc System Works>>Fighter
kofnw>King of Fighters NeoWave, The>2004>AAMA - Yellow (Animated Violence Mild)>Sammy/SNK Playmore>>Fighter
kofxi>King of Fighters XI, The>2005>AAMA - Yellow (Animated Violence Mild)>Sega/SNK Playmore>>Fighter
kov7sprt>Knights Of Valour: The Seven Spirits>2004>AAMA - Yellow (Animated Violence Mild)>Sammy/IGS>>Beat-'Em-Up
maxspeed>Maximum Speed>2002>AAMA - Green (Suitable For All Ages)>Sammy>>Driving
mslug6>Metal Slug 6>2006>AAMA - Yellow (Animated Violence Mild)>Sega/SNK Playmore>>Platform
ngbc>Neo-Geo Battle Coliseum>2005>AAMA - Yellow (Animated Violence Mild)>Sammy/SNK Playmore>>Fighter
rangrmsn>Ranger Mission>2004>AAMA - Yellow (Animated Violence Mild)>Sammy>>Gun
rumblef2>Rumble Fish 2, The>2004>AAMA - Yellow (Animated Violence Mild)>Sammy/Dimps>>Fighter
rumblef>Rumble Fish, The>2004>AAMA - Yellow (Animated Violence Mild)>Sammy/Dimps>>Fighter
salmankt>Salary Man Kintaro>2004>AAMA - Yellow (Animated Violence Mild)>Sammy>>Adventure
samsptk>Samurai Shodown VI>2005>AAMA - Yellow (Animated Violence Mild)>Sammy/SNK Playmore>>Fighter
sprtshot>Sports Shooting USA>2003>AAMA - Green (Suitable For All Ages)>Sammy>>Gun
vfurlong>Victory Furlong Horse Racing>2005>AAMA - Green (Suitable For All Ages)>Sammy>>Sports/Horse Racing
