Bastard>Bastard>2004>ESRB - T (Teen)>Tony World>>Fighter
Big Bang Beat 1st Impression>Big Bang Beat 1st Impression>2010>ESRB - T (Teen)>Fabien Q>>Fighter
Bleach Mugen>Bleach M.U.G.E.N>2010>ESRB - T (Teen)>Ristar87>>Fighter
Capcom Fighting Evolution Max>Capcom Fighting Evolution Max>2009>ESRB - T (Teen)>Mugen Station 360>>Fighter
Cartoon Fighters 2010>Cartoon Fighters 2010>2010>ESRB - T (Teen)>Voodoo>>Fighter
CMS Mugen Elite>CMS Mugen Elite>2009>ESRB - T (Teen)>Mugen Comunity>>Fighter
Coruscation Mugen>Coruscation Mugen>2009>ESRB - T (Teen)>Coruscation>>Fighter
DC vs Capcom vs Marvel>DC vs Capcom vs Marvel>2009>ESRB - T (Teen)>Alex Lexus>>Fighter
Dragon Ball AF>Dragon Ball AF>2009>ESRB - T (Teen)>Ristar87 & DBZSupakid>>Fighter
Dragon Ball M.U.G.E.N Edition 2010>Dragon Ball M.U.G.E.N. Edition 2010>2010>ESRB - T (Teen)>Ristar87 & Xedarts>>Fighter
DBZ Saiyan Fury 09>Dragon Ball Z Saiyan Fury 09>2008>ESRB - T (Teen)>Xedarts>>Fighter
Fatal Fury - Mark of the Wolves>Fatal Fury - Mark of the Wolves>2009>ESRB - T (Teen)>Ristar87>>Fighter
Guilty Gear XX Mugen>Guilty Gear XX Mugen>2009>ESRB - T (Teen)>Solitaio>>Fighter
Hi-Res Mugen>Hi-Res Mugen>2008>ESRB - T (Teen)>Mugen9s>>Fighter
Hokuto no Ken>Hokuto no Ken>2009>ESRB - T (Teen)>Hokuto Project>>Fighter
Kenshin Mugen>Kenshin Mugen>2008>ESRB - T (Teen)>Ralfab>>Fighter
King Of Fighters Infinite>King Of Fighters Infinite>2010>ESRB - T (Teen)>Amit Dabydeen>>Fighter
King Of Fighters Shining>King Of Fighters Shining>2008>ESRB - T (Teen)>Miracle Create>>Fighter
King of Fighters Zillion>King of Fighters Zillion>2007>ESRB - T (Teen)>Mugen China>>Fighter
Marvel vs Capcom 3 - Last Rise of Heroes>Marvel vs Capcom 3 - Last Rise of Heroes>2008>ESRB - T (Teen)>Infinity Mugen>>Fighter
Megaman Battle - Robot Master Mayhem>Megaman Battle - Robot Master Mayhem>2009>ESRB - T (Teen)>Infinity Mugen>>Fighter
Mortal Kombat 1>Mortal Kombat 1>2008>ESRB - T (Teen)>Indrid Cold>>Fighter
Mortal Kombat Anthology>Mortal Kombat Anthology>2008>ESRB - T (Teen)>Indrid Cold>>Fighter
Mortal Kombat Project 4.8>Mortal Kombat Project 4.8>2008>ESRB - T (Teen)>MK-Team>>Fighter
Mortal Kombat Trilogy>Mortal Kombat Trilogy>2008>ESRB - T (Teen)>Indrid Cold & Simpliband>>Fighter
Mortal Kombat vs Street Fighter>Mortal Kombat vs Street Fighter>2008>ESRB - T (Teen)>Mugen9s>>Fighter
Mugen Tournament 3>Mugen Tournament 3>2007>ESRB - T (Teen)>NoYoN9s>>Fighter
Namco X Capcom Brawlers>Namco X Capcom Brawlers>2008>ESRB - T (Teen)>Wounami>>Fighter
Neo Geo Battle Coliseum>Neo Geo Battle Coliseum>2007>ESRB - T (Teen)>Amit Dabydeen>>Fighter
Pocket Fighter>Pocket Fighter>2003>ESRB - T (Teen)>Cute Mugen>>Fighter
Shades of Manhattan>Shades of Manhattan>2009>ESRB - T (Teen)>SHADEs Team>>Fighter
SNK vs Capcom Ultimate Mugen 3rd Battle Edition v2.0>SNK vs Capcom Ultimate 3rd Battle Edition 2007>2007>ESRB - T (Teen)>Roberto Bernardo Games>>Fighter
SNK vs Capcom Ultimate Mugen 3rd Battle Edition v3.0>SNK vs Capcom Ultimate 3rd Battle Edition 2008(Unofficial)>2008>ESRB - T (Teen)>Roberto Bernardo Games>>Fighter
Street Fighter 1 - Champion Edition>Street Fighter 1 - Champion Edition>2006>ESRB - T (Teen)>Falchion22>>Fighter
Street Fighter Legends>Street Fighter Legends>2010>ESRB - T (Teen)>Amit Dabydeen>>Fighter
Street Fighter Mugen>Street Fighter Mugen>2008>ESRB - T (Teen)>Mugen9s>>Fighter
Super Heroes Mugen>Super Heroes Mugen>2009>ESRB - T (Teen)>Ristar87>>Fighter
Super Marvel vs Capcom Eternity of Heroes>Super Marvel vs Capcom Eternity of Heroes>2010>ESRB - T (Teen)>Infinity Mugen>>Fighter
Super Smash Bros. Brawl All Stars>Super Smash Bros. Brawl All Stars>2009>ESRB - T (Teen)>Wounami>>Fighter
Super Street Fighter 2 Turbo HD Remix>Super Street Fighter 2 Turbo HD Remix>2010>ESRB - T (Teen)>Amit Dabydeen>>Fighter
TMHT Tournament Fighters>Teenage Mutant Hero Turtles Tournament Fighters>2001>ESRB - T (Teen)>Pioupiou>>Fighter
Ultimate Mugen 2009>Ultimate Mugen 2009>2009>ESRB - T (Teen)>0414setsuna>>Fighter
World Heroes>World Heroes>2008>ESRB - T (Teen)>Mugen9s>>Fighter
World Warrior Tournament 2>World Warrior Tournament 2>2009>ESRB - T (Teen)>Darkwork Production>>Fighter
World Warriors X>World Warriors X>2008>ESRB - T (Teen)>Mugen9s>>Fighter
