Alien Invasion (USA)>Alien Invasion (USA)>1979>HSRS - GA (General Audience)>Zircon>>Shooter
Backgammon, Acey-Deucey (USA)>Backgammon, Acey-Deucey (USA)>1977>HSRS - GA (General Audience)>Fairchild>>Card Battle
Baseball (USA)>Baseball (USA)>1977>HSRS - GA (General Audience)>Fairchild>>Sports/Baseball
Bowling (USA)>Bowling (USA)>1978>HSRS - GA (General Audience)>Fairchild>>Sports/Bowling
Casino Poker (USA)>Casino Poker (USA)>1979>HSRS - GA (General Audience)>Zircon>>Casino
Checkers (USA)>Checkers (USA)>1978>HSRS - GA (General Audience)>Zircon>>Board Games
Desert Fox, Shooting Gallery (USA)>Desert Fox, Shooting Gallery (USA)>1976>HSRS - GA (General Audience)>Zircon>>Shooter
Dodge It (USA)>Dodge It (USA)>1978>HSRS - GA (General Audience)>Fairchild>>Action
Drag Strip (USA)>Drag Strip (USA)>1977>HSRS - GA (General Audience)>Fairchild>>Racing
Galactic Space Wars, Lunar Lander (USA)>Galactic Space Wars, Lunar Lander (USA)>1990>HSRS - GA (General Audience)>Zircon>>Shooter
Hangman (USA)>Hangman (USA)>1978>HSRS - GA (General Audience)>Fairchild>>Puzzle
Hockey & Tennis (USA)>Hockey & Tennis (USA)>1976>HSRS - GA (General Audience)>Fairchild>>Sports
Lights Out (USA)>Lights Out (USA)>2004>HSRS - GA (General Audience)>Sean Riddle>>Puzzle
Magic Numbers - Mind Reader + Nim (USA)>Magic Numbers - Mind Reader + Nim (USA)>1977>HSRS - GA (General Audience)>Fairchild>>Miscellaneous
Math Quiz I - Addition + Subtraction (USA)>Math Quiz I - Addition + Subtraction (USA)>1977>HSRS - GA (General Audience)>Fairchild>>Miscellaneous
Math Quiz II - Multiplication + Division (USA)>Math Quiz II - Multiplication + Division (USA)>1977>HSRS - GA (General Audience)>Fairchild>>Miscellaneous
Maze, Jailbreak, Blind-man's-bluff, Trailblazer (USA)>Maze, Jailbreak, Blind-man's-bluff, Trailblazer (USA)>1977>HSRS - GA (General Audience)>Fairchild>>Action
Memory Match 1 & 2 (USA)>Memory Match 1 & 2 (USA)>1978>HSRS - GA (General Audience)>Fairchild>>Miscellaneous
Pac-Man (USA)>Pac-Man (USA)>2006>HSRS - GA (General Audience)>Fredrid Blaholtz>>Maze
Pinball Challenge (USA)>Pinball Challenge (USA)>1978>HSRS - GA (General Audience)>Fairchild>>Pinball
Pro Football (USA)>Pro Football (USA)>1990>HSRS - GA (General Audience)>Zircon>>Sports/Football
Robot War, Torpedo Alley (USA)>Robot War, Torpedo Alley (USA)>1977>HSRS - GA (General Audience)>Fairchild>>Shooter
Slot Machine (USA)>Slot Machine (USA)>1980>HSRS - GA (General Audience)>Zircon>>Casino
Sonar Search (USA)>Sonar Search (USA)>1977>HSRS - GA (General Audience)>Fairchild>>Strategy
Space War (USA)>Space War (USA)>1977>HSRS - GA (General Audience)>Fairchild>>Action
Spitfire (USA)>Spitfire (USA)>1977>HSRS - GA (General Audience)>Fairchild>>Shooter
Tetris (USA)>Tetris (USA)>2004>HSRS - GA (General Audience)>Peter Trauner>>Puzzle
Tic-Tac-Toe, Shooting Gallery, Doodle, Quadra-Doodle (USA)>Tic-Tac-Toe, Shooting Gallery, Doodle, Quadra-Doodle (USA)>1976>HSRS - GA (General Audience)>Fairchild>>Miscellaneous
Video Blackjack (USA)>Video Blackjack (USA)>1976>HSRS - GA (General Audience)>Fairchild>>Casino
Video Whizball (USA)>Video Whizball (USA)>1978>HSRS - GA (General Audience)>Fairchild>>Action
