3D Tanks (Europe)>3D Tanks (Europe)>>Other - NR (Not Rated)>>…>Shooter
Agressor (Europe)>Agressor (Europe)>1992>Other - NR (Not Rated)>Atomic Software>>Shooter
Air Supremecy (Europe)>Air Supremecy (Europe)>>Other - NR (Not Rated)>Superior Software>>
Alerion (Europe)>Alerion (Europe)>1994>Other - NR (Not Rated)>Archimedes World>>Shooter
Alien Invasion (Europe)>Alien Invasion (Europe)>1994>Other - NR (Not Rated)>Alien Images>>Action
Aliped (Europe)>Aliped (Europe)>1990>Other - NR (Not Rated)>Felix, Andrew>>Adventure
All In Boxing (Europe)>All In Boxing (Europe)>1994>Other - NR (Not Rated)>Alien Images>>Sports/Boxing
Amoria (Europe)>Amoria (Europe)>>Other - NR (Not Rated)>>>
Apocalypse (Europe) (Disk 1)>Apocalypse (Europe) (Disk 1)>1990>Other - NR (Not Rated)>Key, Gordon J.>>Shooter
Apocalypse (Europe) (Disk 2)>Apocalypse (Europe) (Disk 2)>1990>Other - NR (Not Rated)>Key, Gordon J.>>Shooter
Archimedes Elite (Europe)>Archimedes Elite (Europe)>1991>Other - NR (Not Rated)>Hybrid Technology>>Simulation
Archimedes Moria (Europe)>Archimedes Moria (Europe)>1992>Other - NR (Not Rated)>>>Role-Playing
Arcomini (Europe) [b]>Arcomini (Europe) [b]>1990>Other - NR (Not Rated)>Fairbrother>>
ArcOmnibus (Europe)>ArcOmnibus (Europe)>>Other - NR (Not Rated)>Beebug>>
Asylum (Europe) (Disk 1)>Asylum (Europe) (Disk 1)>1993>Other - NR (Not Rated)>Digital Psychosis>>Platformer
Asylum (Europe) (Disk 2)>Asylum (Europe) (Disk 2)>1993>Other - NR (Not Rated)>Digital Psychosis>>Platformer
Blitz (Europe)>Blitz (Europe)>1991>Other - NR (Not Rated)>Arxe Systems>>Action
Blowpipe (Europe) (Disk 1)>Blowpipe (Europe) (Disk 1)>>Other - NR (Not Rated)>Eclipse>>
Blowpipe (Europe) (Disk 2)>Blowpipe (Europe) (Disk 2)>>Other - NR (Not Rated)>Eclipse>>
Bloxed (Europe) [h]>Bloxed (Europe) [h]>1995>Other - NR (Not Rated)>Singer, Steven>>Puzzle
Bobby Blockhead vs. The Dark Planet (Europe)>Bobby Blockhead vs. The Dark Planet (Europe)>1991>Other - NR (Not Rated)>Atomic Software>>Platformer
Break 147 (Europe)>Break 147 (Europe)>1991>Other - NR (Not Rated)>4th Dimension>>Sports
Bubble Fair (Europe)>Bubble Fair (Europe)>1991>Other - NR (Not Rated)>Eterna>>
Bug Hunter & Moon Dash (Europe) [h]>Bug Hunter & Moon Dash (Europe) [h]>1990>Other - NR (Not Rated)>Minerva Software>>Puzzle
Bug Hunter In Space (Europe) [h]>Bug Hunter In Space (Europe) [h]>1990>Other - NR (Not Rated)>Minerva Software>>Puzzle
Cannon Fodder (Europe) (Disk 1)>Cannon Fodder (Europe) (Disk 1)>1993>Other - NR (Not Rated)>Sensible Software>>Strategy
Cannon Fodder (Europe) (Disk 2)>Cannon Fodder (Europe) (Disk 2)>1993>Other - NR (Not Rated)>Sensible Software>>Strategy
Cannon Fodder (Europe) (Disk 3)>Cannon Fodder (Europe) (Disk 3)>1993>Other - NR (Not Rated)>Sensible Software>>Strategy
