Arc (Netherlands)>Arc (Netherlands)>1990>Other - NR (Not Rated)>Parallax / Checkmark>>Action
Aura Battle Dunbine (Japan)(Disk 1 of 6)>Aura Battle Dunbine (Japan)(Disk 1 of 6)>1991>Other - NR (Not Rated)>Family Soft>>Strategy
Aura Battle Dunbine (Japan)(Disk 2 of 6)>Aura Battle Dunbine (Japan)(Disk 2 of 6)>1991>Other - NR (Not Rated)>Family Soft>>Strategy
Aura Battle Dunbine (Japan)(Disk 3 of 6)>Aura Battle Dunbine (Japan)(Disk 3 of 6)>1991>Other - NR (Not Rated)>Family Soft>>Strategy
Aura Battle Dunbine (Japan)(Disk 4 of 6)>Aura Battle Dunbine (Japan)(Disk 4 of 6)>1991>Other - NR (Not Rated)>Family Soft>>Strategy
Aura Battle Dunbine (Japan)(Disk 5 of 6)>Aura Battle Dunbine (Japan)(Disk 5 of 6)>1991>Other - NR (Not Rated)>Family Soft>>Strategy
Aura Battle Dunbine (Japan)(Disk 6 of 6)>Aura Battle Dunbine (Japan)(Disk 6 of 6)>1991>Other - NR (Not Rated)>Family Soft>>Strategy
Barunba (Japan)>Barunba (Japan)>1990>Other - NR (Not Rated)>Namco>>Shoot-'Em-Up
D.C. Connection (Japan)(Disk 1 of 3)>D.C. Connection (Japan)(Disk 1 of 3)>1989>Other - NR (Not Rated)>Riverhill Soft Inc>>Adventure
D.C. Connection (Japan)(Disk 2 of 3)>D.C. Connection (Japan)(Disk 2 of 3)>1989>Other - NR (Not Rated)>Riverhill Soft Inc>>Adventure
D.C. Connection (Japan)(Disk 3 of 3)>D.C. Connection (Japan)(Disk 3 of 3)>1989>Other - NR (Not Rated)>Riverhill Soft Inc>>Adventure
DIX (Netherlands)>DIX (Netherlands)>1992>Other - NR (Not Rated)>MSX-Engine>>Puzzle
F-1 Spirit 3D Special (Japan)(Disk 1 of 3)>F-1 Spirit 3D Special (Japan)(Disk 1 of 3)>1988>Other - NR (Not Rated)>Konami>>Driving
F-1 Spirit 3D Special (Japan)(Disk 2 of 3)>F-1 Spirit 3D Special (Japan)(Disk 2 of 3)>1988>Other - NR (Not Rated)>Konami>>Driving
F-1 Spirit 3D Special (Japan)(Disk 3 of 3)>F-1 Spirit 3D Special (Japan)(Disk 3 of 3)>1988>Other - NR (Not Rated)>Konami>>Driving
Family Stadium Pro Baseball - Homerun Contest (Japan)>Family Stadium Pro Baseball - Homerun Contest (Japan)>1989>Other - NR (Not Rated)>Compile / Namco>>Sports
Family Stadium Professional Baseball (Japan)>Family Stadium Professional Baseball (Japan)>1989>Other - NR (Not Rated)>Compile / Namco>>Sports
Gladius (Germany)>Gladius (Germany)>1992>Other - NR (Not Rated)>MP>>Shoot-'Em-Up
Golvellius II (Japan)>Golvellius II (Japan)>1988>Other - NR (Not Rated)>Compile>>Role-Playing
Gradius III Legends (Spain)>Gradius III Legends (Spain)>2001>Other - NR (Not Rated)>Imanok>>Shoot-'Em-Up
Laydock 2 - Last Attack (Japan)(Disk 1 of 2)>Laydock 2 - Last Attack (Japan)(Disk 1 of 2)>1988>Other - NR (Not Rated)>TE Soft>>Shoot-'Em-Up
Laydock 2 - Last Attack (Japan)(Disk 2 of 2)>Laydock 2 - Last Attack (Japan)(Disk 2 of 2)>1988>Other - NR (Not Rated)>TE Soft>>Shoot-'Em-Up
Lubeck (Japan)>Lubeck (Japan)>1990>Other - NR (Not Rated)>MSX Magazine>>Shoot-'Em-Up
Manbow 2 (Netherlands)>Manbow 2 (Netherlands)>2007>Other - NR (Not Rated)>Manbow 2 Team / Sunrise>>Shoot-'Em-Up
Megadoom (Netherlands)(Disc 1 of 2)>Megadoom (Netherlands)(Disc 1 of 2)>1993>Other - NR (Not Rated)>First Class Software>>Shooter
Megadoom (Netherlands)(Disc 2 of 2)>Megadoom (Netherlands)(Disc 2 of 2)>1993>Other - NR (Not Rated)>First Class Software>>Shooter
Mid-Garts Dual Side (Japan)(Disk 1 of 6)>Mid-Garts Dual Side (Japan)(Disk 1 of 6)>1989>Other - NR (Not Rated)>Wolfteam>>Adventure
Mid-Garts Dual Side (Japan)(Disk 2 of 6)>Mid-Garts Dual Side (Japan)(Disk 2 of 6)>1989>Other - NR (Not Rated)>Wolfteam>>Adventure
Mid-Garts Dual Side (Japan)(Disk 3 of 6)>Mid-Garts Dual Side (Japan)(Disk 3 of 6)>1989>Other - NR (Not Rated)>Wolfteam>>Adventure
Mid-Garts Dual Side (Japan)(Disk 4 of 6)>Mid-Garts Dual Side (Japan)(Disk 4 of 6)>1989>Other - NR (Not Rated)>Wolfteam>>Adventure
Mid-Garts Dual Side (Japan)(Disk 5 of 6)>Mid-Garts Dual Side (Japan)(Disk 5 of 6)>1989>Other - NR (Not Rated)>Wolfteam>>Adventure
Mid-Garts Dual Side (Japan)(Disk 6 of 6)>Mid-Garts Dual Side (Japan)(Disk 6 of 6)>1989>Other - NR (Not Rated)>Wolfteam>>Adventure
Nagoya-flavor silly edition of Laydock (Japan)>Nagoya-flavor silly edition of Laydock (Japan)>1991>Other - NR (Not Rated)>TE Soft>>Shoot-'Em-Up
New Legendly Nine Gems - Shinku (Japan)(Disk 1 of 2)>New Legendly Nine Gems - Shinku (Japan)(Disk 1 of 2)>1988>Other - NR (Not Rated)>Tecnosoft>>Role-Playing
New Legendly Nine Gems - Shinku (Japan)(Disk 2 of 2)>New Legendly Nine Gems - Shinku (Japan)(Disk 2 of 2)>1988>Other - NR (Not Rated)>Technosoft>>Role-Playing
Nyancle Racing (Japan)>Nyancle Racing (Japan)>1988>Other - NR (Not Rated)>Panasoft /BIT2>>Driving
Pachipro Densetsu (Japan)>Pachipro Densetsu (Japan)>1989>Other - NR (Not Rated)>HAL Laboratory>>Board Games
Playball 3 (Japan)>Playball 3 (Japan)>1989>Other - NR (Not Rated)>Sony>>Sports
Playboy Strippoker (Netherlands)>Playboy Strippoker (Netherlands)>1992>Other - NR (Not Rated)>First Class Software>>Card Games
Princess Maker (Japan)(Translated En)(Disk 1 of 7)>Princess Maker (Japan)(Translated En)(Disk 1 of 7)>1992>Other - NR (Not Rated)>Micro Cabin>>Simulation
Princess Maker (Japan)(Translated En)(Disk 2 of 7)>Princess Maker (Japan)(Translated En)(Disk 2 of 7)>1992>Other - NR (Not Rated)>Micro Cabin>>Simulation
Princess Maker (Japan)(Translated En)(Disk 3 of 7)>Princess Maker (Japan)(Translated En)(Disk 3 of 7)>1992>Other - NR (Not Rated)>Micro Cabin>>Simulation
Princess Maker (Japan)(Translated En)(Disk 4 of 7)>Princess Maker (Japan)(Translated En)(Disk 4 of 7)>1992>Other - NR (Not Rated)>Micro Cabin>>Simulation
Princess Maker (Japan)(Translated En)(Disk 5 of 7)>Princess Maker (Japan)(Translated En)(Disk 5 of 7)>1992>Other - NR (Not Rated)>Micro Cabin>>Simulation
Princess Maker (Japan)(Translated En)(Disk 6 of 7)>Princess Maker (Japan)(Translated En)(Disk 6 of 7)>1992>Other - NR (Not Rated)>Micro Cabin>>Simulation
Princess Maker (Japan)(Translated En)(Disk 7 of 7)>Princess Maker (Japan)(Translated En)(Disk 7 of 7)>1992>Other - NR (Not Rated)>Micro Cabin>>Simulation
Quinpl (Japan)>Quinpl (Japan)>1988>Other - NR (Not Rated)>Bit2>>Puzzle
Sea Sardine (Japan)>Sea Sardine (Japan)>1991>Other - NR (Not Rated)>ASCII / MSX Magazine>>Shoot-'Em-Up
Sony HB-F1XV Story Disk (Japan)>Sony HB-F1XV Story Disk (Japan)>1990>Other - NR (Not Rated)>Sony>>Miscellaneous
Sonyc (Spain)>Sonyc (Spain)>1995>Other - NR (Not Rated)>Analogy>>Action
Space Manbow (Japan)>Space Manbow (Japan)>1989>Other - NR (Not Rated)>Konami>>Shoot-'Em-Up
Starship Rendezvous (Japan)(Disk 1 of 2)>Starship Rendezvous (Japan)(Disk 1 of 2)>1988>Other - NR (Not Rated)>Scaptrust>>Action
Starship Rendezvous (Japan)(Disk 2 of 2)>Starship Rendezvous (Japan)(Disk 2 of 2)>1988>Other - NR (Not Rated)>Scaptrust>>Action
Super Cooks (Japan)>Super Cooks (Japan)>1989>Other - NR (Not Rated)>Compile>>Action
The Goonies 'R' Good Enough (Spain)>The Goonies 'R' Good Enough (Spain)>2009>Other - NR (Not Rated)> Kralizec  / MSX Cartridge Shop>>Action
Turtle Mania (Japan)>Turtle Mania (Japan)>1991>Other - NR (Not Rated)>MSX Studio>>Shoot-'Em-Up
Twinkle Star (Japan)>Twinkle Star (Japan)>1990>Other - NR (Not Rated)>MSX Magazine>>Shoot-'Em-Up
Twinkle Star II (Japan)>Twinkle Star II (Japan)>1991>Other - NR (Not Rated)>MSX Magazine>>Shoot-'Em-Up
Wig, The (Japan)>Wig, The (Japan)>1990>Other - NR (Not Rated)>>>Shoot-'Em-Up
Witch Iz, The (Japan)>Witch Iz, The (Japan)>1990>Other - NR (Not Rated)>>>Miscellaneous
Xak III - The Tower of Gazzel (Japan)(Disc 1 of 4)>Xak III - The Tower of Gazzel (Japan)(Disc 1 of 4)>1991>Other - NR (Not Rated)>Micro Cabin>>Role-Playing
Xak III - The Tower of Gazzel (Japan)(Disc 2 of 4)>Xak III - The Tower of Gazzel (Japan)(Disc 2 of 4)>1991>Other - NR (Not Rated)>Micro Cabin>>Role-Playing
Xak III - The Tower of Gazzel (Japan)(Disc 3 of 4)>Xak III - The Tower of Gazzel (Japan)(Disc 3 of 4)>1991>Other - NR (Not Rated)>Micro Cabin>>Role-Playing
Xak III - The Tower of Gazzel (Japan)(Disc 4 of 4)>Xak III - The Tower of Gazzel (Japan)(Disc 4 of 4)>1991>Other - NR (Not Rated)>Micro Cabin>>Role-Playing
Yoshida Kensetsu (Japan)>Yoshida Kensetsu (Japan)>1991>Other - NR (Not Rated)>MSX Magazine>>Shoot-'Em-Up
