Anime Land (Japan)>Anime Land>1995>Other - NR (Not Rated)>Casio>>Miscellaneous
Chakra-kun's Charm Paradise (Japan)>Chakra-kun's Charm Paradise>1997>Other - NR (Not Rated)>Casio>>Miscellaneous
Dream Change Kokin-chan no Fashion Party (Japan)>Dream Change Kokin-chan no Fashion Party>1995>Other - NR (Not Rated)>Casio>>Miscellaneous
HARIHARI Seal Paradise (Japan)>HARIHARI Seal Paradise>1995>Other - NR (Not Rated)>Casio>>Miscellaneous
Little Romance (Japan)>Little Romance>1996>Other - NR (Not Rated)>Casio>>Simulation
Loopy Town no Oheya ga Hoshii! (Japan)>Loopy Town no Oheya ga Hoshii!>1995>Other - NR (Not Rated)>Casio>>Simulation
Lupiton no Wonder Palette>Lupiton no Wonder Palette>1996>Other - NR (Not Rated)>Casio>>Miscellaneous
Nigaoe Artist (Japan)>Nigaoe Artist>1995>Other - NR (Not Rated)>Casio>>Miscellaneous
Pasocom Collection (Japan)>Pasocom Collection>1995>Other - NR (Not Rated)>Casio>>MiscellaneousCas
Wanwan Aijou Monogatari (Japan)>Wanwan Aijou Monogatari>1995>Other - NR (Not Rated)>Casio>>Adventure
